#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B2E07B
#Date Time: 2024-12-03 12:34:35.718
#Sample rate: 819672Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 50 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 2 V/div Offset: -8.55 V Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-0.009845156775724924,0.08251110731114432,6.743961907247046
-0.009843936775724925,0.08251110731114432,6.736454464943505
-0.009842716775724923,0.08284963747824185,6.725193301488188
-0.009841496775724923,0.08318816764533972,6.717685859184647
-0.009840276775724924,0.08420375814663049,6.710178416881107
-0.009839056775724924,0.08420375814663079,6.695163532274039
-0.009837836775724924,0.08488081848082497,6.706424695729345
-0.009836616775724925,0.08386522797953372,6.698917253425807
-0.009835396775724925,0.08488081848082452,6.706424695729341
-0.009834176775724925,0.0865734693163096,6.687656089970511
-0.009832956775724926,0.08623493914921422,6.66888748421166
-0.009831736775724924,0.0852193486479222,6.691409811122264
-0.009830516775724924,0.08758905981760286,6.680148647666953
-0.009829296775724925,0.08758905981760286,6.665133763059879
-0.009828076775724923,0.08725052965050656,6.661380041908099
-0.009826856775724924,0.08826612015179763,6.657626320756327
-0.009825636775724924,0.08894318048599119,6.646365157301021
-0.009824416775724924,0.08758905981760286,6.646365157301021
-0.009823196775724925,0.08860465031889457,6.638857714997481
-0.009821976775724925,0.08860465031889457,6.657626320756323
-0.009820756775724925,0.09063583132147705,6.646365157301027
-0.009819536775724926,0.08962024082018721,6.638857714997489
-0.009818316775724924,0.09063583132147844,6.631350272693934
-0.009817096775724924,0.0916514218227697,6.616335388086861
-0.009815876775724925,0.09131289165567261,6.605074224631555
-0.009814656775724923,0.09165142182277,6.605074224631553
-0.009813436775724924,0.09198995198986677,6.608827945783322
-0.009812216775724924,0.09165142182277,6.612581666935094
-0.009810996775724924,0.09232848215696417,6.620089109238631
-0.009809776775724924,0.09198995198986692,6.60132050347978
-0.009808556775724925,0.09368260282535235,6.597566782328012
-0.009807336775724925,0.09232848215696478,6.601320503479778
-0.009806116775724925,0.0926670123240611,6.593813061176247
-0.009804896775724924,0.09300554249115894,6.608827945783315
-0.009803676775724924,0.09368260282535311,6.59756678232801
-0.009802456775724925,0.09469819332664482,6.590059340024469
-0.009801236775724923,0.09469819332664513,6.582551897720933
-0.009800016775724923,0.09503672349374268,6.586305618872689
-0.009798796775724924,0.09571378382793623,6.575044455417389
-0.009797576775724924,0.09503672349374237,6.575044455417391
-0.009796356775724924,0.09571378382793654,6.578798176569159
-0.009795136775724925,0.09605231399503361,6.571290734265622
-0.009793916775724925,0.0953752536608396,6.578798176569156
-0.009792696775724925,0.09639084416213008,6.575044455417393
-0.009791476775724926,0.09672937432922793,6.563783291962089
-0.009790256775724924,0.09605231399503376,6.567537013113848
-0.009789036775724924,0.09639084416213101,6.567537013113848
-0.009787816775724925,0.09571378382793684,6.575044455417386
-0.009786596775724923,0.09706790449632487,6.582551897720919
-0.009785376775724924,0.09639084416213177,6.571290734265618
-0.009784156775724924,0.09808349499761689,6.571290734265617
-0.009782936775724924,0.09740643466342272,6.567537013113848
-0.009781716775724925,0.09774496483051995,6.560029570810308
-0.009780496775724925,0.09774496483051995,6.575044455417382
-0.009779276775724925,0.09808349499761704,6.57129073426562
-0.009778056775724926,0.09842202516471411,6.563783291962086
-0.009776836775724924,0.09842202516471396,6.552522128506773
-0.009775616775724924,0.09740643466342272,6.563783291962078
-0.009774396775724925,0.09909908549890813,6.556275849658542
-0.009773176775724923,0.09842202516471442,6.563783291962086
-0.009771956775724924,0.09842202516471411,6.571290734265627
-0.009770736775724924,0.09774496483052071,6.59005934002446
-0.009769516775724924,0.09943761566600613,6.571290734265618
-0.009768296775724924,0.09943761566600613,6.575044455417389
-0.009767076775724925,0.09909908549890904,6.560029570810316
-0.009765856775724925,0.09977614583310307,6.575044455417382
-0.009764636775724925,0.0990990854989095,6.575044455417389
-0.009763416775724924,0.09977614583310337,6.57129073426562
-0.009762196775724924,0.09977614583310337,6.575044455417389
-0.009760976775724925,0.09943761566600613,6.575044455417389
-0.009759756775724923,0.09909908549890796,6.582551897720936
-0.009758536775724923,0.09808349499761843,6.590059340024473
-0.009757316775724924,0.09943761566600628,6.593813061176242
-0.009756096775724924,0.09977614583310322,6.59756678232801
-0.009754876775724924,0.09943761566600613,6.59756678232801
-0.009753656775724925,0.09977614583310322,6.593813061176242
-0.009752436775724925,0.0990990854989092,6.590059340024471
-0.009751216775724925,0.09842202516471503,6.597566782328003
-0.009749996775724926,0.0994376156660052,6.593813061176244
-0.009748776775724924,0.09943761566600613,6.612581666935091
-0.009747556775724925,0.09977614583310337,6.60507422463155
-0.009746336775724925,0.0990990854989092,6.608827945783318
-0.009745116775724923,0.09909908549890982,6.620089109238631
-0.009743896775724924,0.1001146760002003,6.620089109238629
-0.009742676775724924,0.09943761566600628,6.616335388086861
-0.009741456775724924,0.09977614583310337,6.616335388086861
-0.009740236775724925,0.1007917363343951,6.623842830390401
-0.009739016775724925,0.09977614583310383,6.623842830390401
-0.009737796775724925,0.09876055533181259,6.635103993845701
-0.009736576775724926,0.09909908549890858,6.646365157301011
-0.009735356775724924,0.09977614583310307,6.650118878452787
-0.009734136775724924,0.09909908549890889,6.638857714997481
-0.009732916775724925,0.09876055533181181,6.653872599604555
-0.009731696775724923,0.09842202516471503,6.657626320756339
