#Digilent WaveForms Curve Tracer Trace
#Type:NPN
#Frequency:10 kHz
#RCollector:100 Ohm
#RBase:10 kOhm
#Resolution:
#Vce:3.769476828 mV
#Ic:37.13309425 uA
#Vbe:343.484059 uV
#Ib:-34.3484058979 nA
Vce (V),Ic (A),Vbe (V),Ib (A),Vrc (V),Vrb (V)
-0.01088709000257736,-4.855115228184871e-05,0,0,0,0.6
0.01172977096761528,-4.855115228184871e-05,0,0,0.025,0.6
0.03057715510944249,-1.141805803155506e-05,0,0,0.05,0.6
0.05696349290800058,-1.141805803155506e-05,0,0,0.075,0.6
0.07958035387819322,2.571503621873859e-05,0,0,0.1,0.6
0.1021972148483859,2.571503621873859e-05,0,0,0.125,0.6
0.1248140758185785,2.571503621873859e-05,0,0,0.15,0.6
0.1512004136171366,2.571503621873859e-05,0,0,0.175,0.6
0.1775867514156947,2.571503621873859e-05,0,0,0.2,0.6
0.2002036123858873,2.571503621873859e-05,0,0,0.225,0.6
0.2303594270128108,2.571503621873859e-05,0,0,0.25,0.6
0.2529762879830035,2.571503621873859e-05,0,0,0.275,0.6
0.2755931489531961,2.571503621873859e-05,0,0,0.3,0.6
0.2982100099233888,2.571503621873859e-05,0,0,0.325,0.6
0.3245963477219469,6.284813046903224e-05,0,0,0.35,0.6
0.3509826855205049,2.571503621873859e-05,0,0,0.375,0.6
0.377369023319063,2.571503621873859e-05,0,0,0.4,0.6
0.4037553611176211,2.571503621873859e-05,0,0,0.425,0.6
0.4263722220878138,2.571503621873859e-05,0,0,0.45,0.6
0.4527585598863719,2.571503621873859e-05,0,0,0.475,0.6
0.47914489768493,2.571503621873859e-05,0,0,0.5,0.6
0.5017617586551226,6.284813046903224e-05,0,0,0.525,0.6
0.5281480964536807,2.571503621873859e-05,0,0,0.55,0.6
0.5545344342522388,2.571503621873859e-05,0,0,0.575,0.6
0.5771512952224314,2.571503621873859e-05,0,0,0.6,0.6
0.6035376330209895,2.571503621873859e-05,0,0,0.625,0.6
0.6261544939911822,2.571503621873859e-05,0,0,0.65,0.6
0.6525408317897402,2.571503621873859e-05,0,0,0.675,0.6
0.6789271695882984,2.571503621873859e-05,0,0,0.7,0.6
0.7015440305584909,2.571503621873859e-05,0,0,0.725,0.6
0.7279303683570491,2.571503621873859e-05,0,0,0.75,0.6
0.7505472293272417,2.571503621873859e-05,0,0,0.775,0.6
0.7731640902974344,2.571503621873859e-05,0,0,0.8,0.6
0.7995504280959924,2.571503621873859e-05,0,0,0.825,0.6
0.8259367658945505,2.571503621873859e-05,0,0,0.85,0.6
0.8523231036931086,6.284813046903224e-05,0,0,0.875,0.6
0.8787094414916666,6.284813046903224e-05,0,0,0.9,0.6
0.9013263024618593,6.284813046903224e-05,0,0,0.925,0.6
0.9277126402604174,6.284813046903224e-05,0,0,0.95,0.6
0.9540989780589755,6.284813046903224e-05,0,0,0.975,0.6
0.9767158390291681,2.571503621873859e-05,0,0,1,0.6
1.003102176827726,2.571503621873859e-05,0,0,1.025,0.6
1.029488514626284,2.571503621873859e-05,0,0,1.05,0.6
1.052105375596477,2.571503621873859e-05,0,0,1.075,0.6
1.078491713395035,2.571503621873859e-05,0,0,1.1,0.6
1.104878051193593,6.284813046903224e-05,0,0,1.125,0.6
1.127494912163786,2.571503621873859e-05,0,0,1.15,0.6
1.153881249962344,2.571503621873859e-05,0,0,1.175,0.6
1.180267587760902,2.571503621873859e-05,0,0,1.2,0.6
1.202884448731095,6.284813046903224e-05,0,0,1.225,0.6
1.229270786529653,2.571503621873859e-05,0,0,1.25,0.6
1.255657124328211,6.284813046903224e-05,0,0,1.275,0.6
1.278273985298403,6.284813046903224e-05,0,0,1.3,0.6
1.304660323096961,2.571503621873859e-05,0,0,1.325,0.6
1.331046660895519,6.284813046903224e-05,0,0,1.35,0.6
1.349894045037347,2.571503621873859e-05,0,0,1.375,0.6
1.376280382835905,6.284813046903224e-05,0,0,1.4,0.6
1.402666720634463,6.284813046903224e-05,0,0,1.425,0.6
1.425283581604655,2.571503621873859e-05,0,0,1.45,0.6
1.455439396231579,6.284813046903224e-05,0,0,1.475,0.6
1.478056257201772,2.571503621873859e-05,0,0,1.5,0.6
1.50444259500033,6.284813046903224e-05,0,0,1.525,0.6
1.530828932798888,6.284813046903224e-05,0,0,1.55,0.6
1.557215270597446,2.571503621873859e-05,0,0,1.575,0.6
1.576062654739273,6.284813046903224e-05,0,0,1.6,0.6
1.602448992537831,6.284813046903224e-05,0,0,1.625,0.6
1.628835330336389,2.571503621873859e-05,0,0,1.65,0.6
1.655221668134947,2.571503621873859e-05,0,0,1.675,0.6
1.681608005933505,2.571503621873859e-05,0,0,1.7,0.6
1.707994343732063,6.284813046903224e-05,0,0,1.725,0.6
1.734380681530622,6.284813046903224e-05,0,0,1.75,0.6
1.756997542500814,6.284813046903224e-05,0,0,1.775,0.6
1.779614403471007,6.284813046903224e-05,0,0,1.8,0.6
1.8022312644412,6.284813046903224e-05,0,0,1.825,0.6
1.824848125411392,6.284813046903224e-05,0,0,1.85,0.6
1.85123446320995,6.284813046903224e-05,0,0,1.875,0.6
1.877620801008509,2.571503621873859e-05,0,0,1.9,0.6
1.904007138807067,6.284813046903224e-05,0,0,1.925,0.6
1.930393476605625,6.284813046903224e-05,0,0,1.95,0.6
1.953010337575817,6.284813046903224e-05,0,0,1.975,0.6
1.979396675374375,6.284813046903224e-05,0,0,2,0.6
2.005783013172934,6.284813046903224e-05,0,0,2.025,0.6
2.028399874143126,6.284813046903224e-05,0,0,2.05,0.6
2.054786211941684,6.284813046903224e-05,0,0,2.075,0.6
2.081172549740242,2.571503621873859e-05,0,0,2.1,0.6
2.103789410710435,6.284813046903224e-05,0,0,2.125,0.6
2.130175748508993,2.571503621873859e-05,0,0,2.15,0.6
2.156562086307551,6.284813046903224e-05,0,0,2.175,0.6
2.182948424106109,2.571503621873859e-05,0,0,2.2,0.6
2.205565285076302,2.571503621873859e-05,0,0,2.225,0.6
2.228182146046494,2.571503621873859e-05,0,0,2.25,0.6
2.254568483845052,2.571503621873859e-05,0,0,2.275,0.6
2.277185344815245,6.284813046903224e-05,0,0,2.3,0.6
2.303571682613803,6.284813046903224e-05,0,0,2.325,0.6
2.329958020412361,2.571503621873859e-05,0,0,2.35,0.6
2.356344358210919,6.284813046903224e-05,0,0,2.375,0.6
2.382730696009478,2.571503621873859e-05,0,0,2.4,0.6
2.40534755697967,2.571503621873859e-05,0,0,2.425,0.6
2.427964417949863,2.571503621873859e-05,0,0,2.45,0.6
2.454350755748421,2.571503621873859e-05,0,0,2.475,0.6
2.480737093546979,2.571503621873859e-05,0,0,2.5,0.6
2.507123431345537,2.571503621873859e-05,0,0,2.525,0.6
2.52974029231573,2.571503621873859e-05,0,0,2.55,0.6
2.556126630114288,2.571503621873859e-05,0,0,2.575,0.6
2.57874349108448,2.571503621873859e-05,0,0,2.6,0.6
2.605129828883038,6.284813046903224e-05,0,0,2.625,0.6
2.631516166681596,6.284813046903224e-05,0,0,2.65,0.6
2.657902504480155,6.284813046903224e-05,0,0,2.675,0.6
2.680519365450347,2.571503621873859e-05,0,0,2.7,0.6
2.70313622642054,2.571503621873859e-05,0,0,2.725,0.6
2.729522564219098,2.571503621873859e-05,0,0,2.75,0.6
2.755908902017656,2.571503621873859e-05,0,0,2.775,0.6
2.778525762987849,6.284813046903224e-05,0,0,2.8,0.6
2.804912100786407,6.284813046903224e-05,0,0,2.825,0.6
