#Digilent WaveForms Curve Tracer Trace
#Type:NPN
#Frequency:10 kHz
#RCollector:100 Ohm
#RBase:10 kOhm
#Resolution:
#Vce:0 V
#Ic:0 A
#Vbe:338.2418971 uV
#Ib:-34.3484058979 nA
Vce (V),Ic (A),Vbe (V),Ib (A),Vrc (V),Vrb (V)
0,0,0.2291690198399833,1.236851338561319e-07,5,0.2325
0,0,0.2359338577815416,1.106758301223659e-07,5,0.24
0,0,0.2440516633114116,1.294130715397948e-07,5,0.2475
0,0,0.2511547431500478,1.501017085172886e-07,5,0.255
0,0,0.2602872743711516,1.325391484767046e-07,5,0.2625
0,0,0.2677285961068657,1.182289143695619e-07,5,0.27
0,0,0.2744934340484241,1.052196106357958e-07,5,0.2775
0,0,0.2822729976812161,1.246073172399131e-07,5,0.285
0,0,0.2893760775198524,1.452959542174067e-07,5,0.2925
0,0,0.2964791573584886,1.316361852969525e-07,5,0.3
0,0,0.3035822371971248,1.523248222744462e-07,5,0.3075
0,0,0.3127147684182286,1.347622622338622e-07,5,0.315
0,0,0.3194796063597869,1.217529585000962e-07,5,0.3225
0,0,0.3269209280955011,1.417911302909016e-07,5,0.33
0,0,0.3347004917282931,1.611788368950188e-07,5,0.3375
0,0,0.3414653296698514,1.481695331612528e-07,5,0.345
0,0,0.3495831351997215,1.325583686807336e-07,5,0.3525
0,0,0.3560097312442018,1.201995301336559e-07,5,0.36
0,0,0.3648040205682276,1.376358411777082e-07,5,0.3675
0,0,0.3722453423039418,1.233256070705656e-07,5,0.375
0,0,0.379686664039656,1.090153729634229e-07,5,0.3825
0,0,0.3867897438782922,1.297040099409167e-07,5,0.39
0,0,0.3942310656140063,1.153937758337741e-07,5,0.3975
0,0,0.4023488711438764,9.978261135325488e-08,5,0.405
0,0,0.4087754671883568,1.217721787041252e-07,5,0.4125
0,0,0.4179079984094605,1.385580245614893e-07,5,0.42
0,0,0.4246728363510188,1.255487208277232e-07,5,0.4275
0,0,0.432114158086733,1.112384867205806e-07,5,0.435
0,0,0.439893721719525,1.306261933246978e-07,5,0.4425
0,0,0.4469968015581613,1.169664244042434e-07,5,0.45
0,0,0.4540998813967975,1.376550613817372e-07,5,0.4575
0,0,0.4615412031325117,1.233448272745946e-07,5,0.465
0,0,0.4703354924565375,1.064327324206988e-07,5,0.4725
0,0,0.4774385722951737,1.271213693981926e-07,5,0.48
0,0,0.4852181359279658,1.465090760023097e-07,5,0.4875
0,0,0.4916447319724462,1.341502374552321e-07,5,0.495
0,0,0.4994242956052383,1.535379440593492e-07,5,0.5024999999999999
0,0,0.5065273754438745,1.398781751388948e-07,5,0.51
0,0,0.5139686971795887,1.599163469297003e-07,5,0.5175
0,0,0.5220865027094587,1.786535883471292e-07,5,0.525
0,0,0.5295278244451728,1.986917601379347e-07,5,0.5325
0,0,0.5373073880779649,1.837310608441037e-07,5,0.54
0,0,0.5437339841224452,2.057206281949744e-07,5,0.5475
0,0,0.5511753058581594,2.257587999857797e-07,5,0.555
0,0,0.5579401437997178,2.470979021499616e-07,5,0.5625
0,0,0.565043223638354,3.021349450254034e-07,5,0.57
0,0,0.5728227872711461,3.558710575274686e-07,5,0.5775
0,0,0.5795876252127043,3.77210159691651e-07,5,0.585
0,0,0.5863524631542627,4.672460736517291e-07,5,0.5925
0,0,0.5927790591987431,5.579324527984956e-07,5,0.6
0,0,0.5992056552432236,6.142704260473138e-07,5,0.6075
0,0,0.6052940093906261,7.743040821766647e-07,5,0.615
0,0,0.6113823635380286,9.343377383060156e-07,5,0.6225000000000001
0,0,0.6178089595825089,1.128069335146627e-06,5,0.63
0,0,0.6232208299357556,1.35810073344525e-06,5,0.6375
0,0,0.6279562164948463,1.589433062117251e-06,5,0.645
0,0,0.6326916030539372,1.855113796687199e-06,5,0.6525
0,0,0.6370887477159501,2.155793402341783e-06,5,0.66
0,0,0.6414858923779631,2.456473007996368e-06,5,0.6675
0,0,0.6452065532458201,2.827150355820225e-06,5,0.675
0,0,0.6492654560107551,3.265874050253291e-06,5,0.6825
0,0,0.6529861168786122,3.670899803975097e-06,5,0.6899999999999999
0,0,0.6560302939523134,4.111574893968227e-06,5,0.6975
0,0,0.6587362291289367,4.587248855045994e-06,5,0.705
0,0,0.6614421643055601,4.994226004327864e-06,5,0.7125
0,0,0.6641480994821835,5.435551559507682e-06,5,0.72
0,0,0.6665157927617288,5.980572797568033e-06,5,0.7275
0,0,0.6695599698354301,6.558641511152956e-06,5,0.735
0,0,0.6715894212178976,7.104313214399995e-06,5,0.7425
0,0,0.673618872600365,7.615636511749086e-06,5,0.75
0,0,0.6756483239828326,8.195656620894073e-06,5,0.7575
0,0,0.6776777753653001,8.775676730039062e-06,5,0.765
0,0,0.6793689848506896,9.321998898472788e-06,5,0.7725
0,0,0.6810601943360792,9.833972661008569e-06,5,0.78
0,0,0.6827514038214688,1.055203685893204e-05,5,0.7875
0,0,0.6841043714097804,1.109900949255245e-05,5,0.795
0,0,0.68579558089517,1.174837687868002e-05,5,0.8025
0,0,0.6871485484834817,1.236404632409634e-05,5,0.8100000000000001
0,0,0.6885015160717933,1.29453673636147e-05,5,0.8175
0,0,0.6895162417630272,1.359603568011565e-05,5,0.825
0,0,0.6908692093513388,1.417735671963401e-05,5,0.8325
0,0,0.6922221769396505,1.493041978864212e-05,5,0.84
0,0,0.6935751445279621,1.551174082816048e-05,5,0.8475
0,0,0.6945898702191958,1.616240914466143e-05,5,0.855
0,0,0.6959428378075075,1.677807859007774e-05,5,0.8625
0,0,0.6969575634987413,1.742874690657869e-05,5,0.87
0,0,0.697972289189975,1.804506681718169e-05,5,0.8774999999999999
0,0,0.6989870148812087,1.869573513368264e-05,5,0.885
0,0,0.7000017405724425,1.951814547967333e-05,5,0.8925
0,0,0.7006782243665983,2.010076744956507e-05,5,0.9
0,0,0.7016929500578321,2.082013257786191e-05,5,0.9075
0,0,0.7023694338519879,2.14371029536516e-05,5,0.915
0,0,0.7033841595432216,2.208777127015255e-05,5,0.9225
0,0,0.7043988852344554,2.277278799255145e-05,5,0.93
0,0,0.7050753690286112,2.345845518013703e-05,5,0.9375
0,0,0.706090094719845,2.421216871433182e-05,5,0.945
0,0,0.7067665785140008,2.482913909012151e-05,5,0.9525
0,0,0.7077813042052346,2.554850421841835e-05,5,0.96
0,0,0.7084577879993904,2.619982300010599e-05,5,0.9675
0,0,0.7091342717935463,2.688549018769158e-05,5,0.975
0,0,0.7098107555877021,2.746811215758332e-05,5,0.9825
0,0,0.7104872393818579,2.818812775106685e-05,5,0.99
0,0,0.7115019650730917,2.894184128526164e-05,5,0.9975000000000001
0,0,0.7121784488672475,2.962750847284723e-05,5,1.005
0,0,0.7128549326614033,3.034752406633076e-05,5,1.0125
0,0,0.7131931745584813,3.103384171910303e-05,5,1.02
0,0,0.713869658352637,3.171950890668862e-05,5,1.0275
0,0,0.7145461421467929,3.237082768837626e-05,5,1.035
0,0,0.7152226259409488,3.305649487596185e-05,5,1.0425
0,0,0.7158991097351046,3.381085887534333e-05,5,1.05
0,0,0.7165755935292604,3.453087446882686e-05,5,1.0575
0,0,0.7172520773234162,3.51821932505145e-05,5,1.065
0,0,0.7175903192204942,3.586851090328676e-05,5,1.0725
0,0,0.71826680301465,3.66572233085662e-05,5,1.08
0,0,0.7189432868088058,3.727419368435589e-05,5,1.0875
0,0,0.7192815287058837,3.802920814892405e-05,5,1.095
0,0,0.7199580125000395,3.874922374240759e-05,5,1.1025
0,0,0.7206344962941954,3.950358774178907e-05,5,1.11
0,0,0.7209727381912733,4.012120858276544e-05,5,1.1175
0,0,0.7216492219854291,4.084122417624898e-05,5,1.125
0,0,0.722325705779585,4.156123976973251e-05,5,1.1325
0,0,0.7226639476766629,4.221320901660684e-05,5,1.14
0,0,0.7233404314708187,4.31049666395801e-05,5,1.1475
0,0,0.7236786733678966,4.372258748055648e-05,5,1.155
0,0,0.7240169152649746,4.44432535392267e-05,5,1.1625
0,0,0.7243551571620525,4.512957119199898e-05,5,1.17
0,0,0.7250316409562083,4.58495867854825e-05,5,1.1775
0,0,0.7253698828532862,4.653590443825479e-05,5,1.185
0,0,0.7257081247503642,4.725657049692501e-05,5,1.1925
0,0,0.72638460854452,4.801093449630648e-05,5,1.2
0,0,0.7267228504415979,4.87316005549767e-05,5,1.2075
0,0,0.7273993342357538,4.948596455435818e-05,5,1.215
0,0,0.7277375761328316,5.013793380123251e-05,5,1.2225
0,0,0.7284140599269875,5.085794939471605e-05,5,1.23
0,0,0.7287523018240654,5.154426704748832e-05,5,1.2375
0,0,0.7290905437211433,5.219623629436264e-05,5,1.245
0,0,0.7294287856182212,5.301994757072671e-05,5,1.2525
0,0,0.7297670275152991,5.374061362939693e-05,5,1.26
0,0,0.730443511309455,5.446062922288047e-05,5,1.2675
0,0,0.7307817532065329,5.518129528155067e-05,5,1.275
0,0,0.7314582370006887,5.593565928093217e-05,5,1.2825
0,0,0.7317964788977667,5.658762852780649e-05,5,1.29
0,0,0.7321347207948445,5.727394618057876e-05,5,1.2975
0,0,0.7324729626919224,5.809765745694283e-05,5,1.305
0,0,0.7328112045890004,5.87839751097151e-05,5,1.3125
0,0,0.7331494464860783,5.947029276248737e-05,5,1.32
0,0,0.7334876883831563,6.019095882115759e-05,5,1.3275
0,0,0.734164172177312,6.094532282053909e-05,5,1.335
0,0,0.73450241407439,6.163164047331136e-05,5,1.3425
0,0,0.7348406559714679,6.235230653198158e-05,5,1.35
0,0,0.7351788978685458,6.31416694024477e-05,5,1.3575
0,0,0.7355171397656237,6.38623354611179e-05,5,1.365
0,0,0.7358553816627016,6.454865311389018e-05,5,1.3725
0,0,0.7361936235597796,6.526931917256041e-05,5,1.38
0,0,0.7365318654568574,6.592128841943473e-05,5,1.3875
0,0,0.7372083492510133,6.664130401291826e-05,5,1.395
0,0,0.7375465911480912,6.739631847748644e-05,5,1.4025
0,0,0.7378848330451692,6.82200297538505e-05,5,1.41
0,0,0.738223074942247,6.890634740662278e-05,5,1.4175
0,0,0.7385613168393249,6.9627013465293e-05,5,1.425
0,0,0.7388995587364029,7.03476795239632e-05,5,1.4325
0,0,0.7392378006334808,7.103399717673549e-05,5,1.44
0,0,0.7395760425305588,7.175466323540571e-05,5,1.4475
0,0,0.7395760425305588,7.244163135336467e-05,5,1.455
0,0,0.7402525263247145,7.329904057044e-05,5,1.4625
0,0,0.7405907682217925,7.401970662911022e-05,5,1.47
0,0,0.7409290101188704,7.474037268778044e-05,5,1.4775
0,0,0.7412672520159482,7.546103874645066e-05,5,1.485
0,0,0.7416054939130262,7.614735639922293e-05,5,1.4925
0,0,0.7419437358101041,7.686802245789315e-05,5,1.5
