CLAS physics database search results
Measurement E28M15
g11
M. Battaglieri
2009

-t variable	M(pi+,pi-)	Y_20	Data errors
GeV2	GeV	mcb/GeV3	mcb/GeV3
0.45	0.405	0.1073	0.1573
0.45	0.415	0.1512	0.1679
0.45	0.425	-0.006283	-0.114
0.45	0.435	0.06887	0.2002
0.45	0.445	0.07431	0.1266
0.45	0.455	0.01295	0.154
0.45	0.465	0.2736	0.1827
0.45	0.475	0.2386	0.1553
0.45	0.485	0.5003	0.5875
0.45	0.495	0.1683	0.1622
0.45	0.505	0.3741	0.1883
0.45	0.515	0.2762	0.154
0.45	0.525	0.07893	0.2893
0.45	0.535	0.2253	0.2947
0.45	0.545	0.6814	0.4437
0.45	0.555	0.2862	0.1482
0.45	0.565	0.5787	0.2805
0.45	0.575	0.08199	0.297
0.45	0.585	0.4003	0.3239
0.45	0.595	0.2976	0.1909
0.45	0.605	0.392	0.5162
0.45	0.615	0.2717	0.3815
0.45	0.625	0.06667	0.3336
0.45	0.635	-0.453	-0.3062
0.45	0.645	-0.2044	-0.7707
0.45	0.655	-0.7221	-0.5525
0.45	0.665	-1.078	-0.6953
0.45	0.675	-1.044	-0.7339
0.45	0.685	-1.962	-1.025
0.45	0.695	-2.539	-0.8469
0.45	0.705	-3.47	-1.378
0.45	0.715	-5.018	-0.6037
0.45	0.725	-5.724	-0.682
0.45	0.735	-6.177	-0.9549
0.45	0.745	-8.356	-0.9899
0.45	0.755	-9.119	-1.104
0.45	0.765	-8.89	-0.9837
0.45	0.775	-9.6	-1.357
0.45	0.785	-8.198	-0.9292
0.45	0.795	-8.255	-1.091
0.45	0.805	-7.41	-1.254
0.45	0.815	-7.564	-1.301
0.45	0.825	-6.353	-1.031
0.45	0.835	-5.802	-0.9382
0.45	0.845	-4.802	-1.03
0.45	0.855	-4.541	-1.144
0.45	0.865	-3.423	-0.5505
0.45	0.875	-2.749	-0.4582
0.45	0.885	-2.738	-0.6635
0.45	0.895	-2.591	-0.736
0.45	0.905	-2.025	-0.6484
0.45	0.915	-1.419	-0.4308
0.45	0.925	-1.122	-0.5698
0.45	0.935	-0.7105	-0.3019
0.45	0.945	-0.513	-0.2577
0.45	0.955	-0.4743	-0.3069
0.45	0.965	-0.08973	-0.1981
0.45	0.975	0.4257	0.2112
0.45	0.985	0.3708	0.1379
0.45	0.995	0.5954	0.1566
0.45	1.005	0.3687	0.1827
0.45	1.015	0.536	0.1579
0.45	1.025	0.8162	0.1408
0.45	1.035	0.7746	0.1453
0.45	1.045	1.047	0.1624
0.45	1.055	0.9807	0.1748
0.45	1.065	1.226	0.1806
0.45	1.075	1.557	0.2405
0.45	1.085	1.412	0.2782
0.45	1.095	1.65	0.2727
0.45	1.105	1.522	0.2125
0.45	1.115	1.698	0.26
0.45	1.125	1.515	0.2032
0.45	1.135	1.745	0.2837
0.45	1.145	1.801	0.2883
0.45	1.155	1.753	0.2578
0.45	1.165	1.609	0.259
0.45	1.175	1.829	0.2593
0.45	1.185	1.747	0.2243
0.45	1.195	1.788	0.225
0.45	1.205	1.828	0.2403
0.45	1.215	1.787	0.2418
0.45	1.225	1.895	0.2394
0.45	1.235	1.874	0.258
0.45	1.245	1.874	0.25
0.45	1.255	1.947	0.2472
0.45	1.265	1.891	0.2796
0.45	1.275	1.955	0.2609
0.45	1.285	1.844	0.2448
0.45	1.295	1.743	0.215
0.45	1.305	1.787	0.223
0.45	1.315	1.613	0.2062
0.45	1.325	1.583	0.2005
0.45	1.335	1.554	0.2081
0.45	1.345	1.762	0.2914
0.45	1.355	1.596	0.2206
0.45	1.365	1.421	0.1976
0.45	1.375	1.747	0.2498
0.45	1.385	1.721	0.2974
0.45	1.395	1.637	0.2853
0.55	0.405	0.1058	0.06414
0.55	0.415	0.05192	0.06329
0.55	0.425	0.1681	0.09851
0.55	0.435	0.159	0.08791
0.55	0.445	0.1285	0.1261
0.55	0.455	0.2487	0.1006
0.55	0.465	0.2331	0.102
0.55	0.475	0.27	0.1068
0.55	0.485	0.2197	0.09182
0.55	0.495	0.2664	0.1109
0.55	0.505	0.3046	0.1531
0.55	0.515	0.3471	0.1114
0.55	0.525	0.3963	0.1402
0.55	0.535	0.3493	0.1118
0.55	0.545	0.2264	0.2678
0.55	0.555	0.3995	0.1554
0.55	0.565	0.3616	0.2818
0.55	0.575	0.4447	0.1634
0.55	0.585	0.4948	0.235
0.55	0.595	0.5281	0.1499
0.55	0.605	0.4091	0.2634
0.55	0.615	0.3986	0.1418
0.55	0.625	0.5109	0.2343
0.55	0.635	0.3305	0.2188
0.55	0.645	0.5722	0.2674
0.55	0.655	0.3275	0.2421
0.55	0.665	-0.003185	-0.2007
0.55	0.675	-0.1816	-0.1413
0.55	0.685	-0.2631	-0.3397
0.55	0.695	-0.7497	-0.2159
0.55	0.705	-0.8434	-0.3242
0.55	0.715	-1.503	-0.2955
0.55	0.725	-1.476	-0.3347
0.55	0.735	-2.264	-0.3588
0.55	0.745	-3.138	-0.4738
0.55	0.755	-3.04	-0.3697
0.55	0.765	-3.148	-0.426
0.55	0.775	-4.059	-0.5399
0.55	0.785	-3.789	-0.4478
0.55	0.795	-3.602	-0.449
0.55	0.805	-3.225	-0.4246
0.55	0.815	-2.736	-0.3353
0.55	0.825	-2.683	-0.329
0.55	0.835	-2.732	-0.4482
0.55	0.845	-2.18	-0.5162
0.55	0.855	-1.815	-0.3061
0.55	0.865	-1.67	-0.3115
0.55	0.875	-1.633	-0.4078
0.55	0.885	-1.494	-0.3068
0.55	0.895	-1.238	-0.2958
0.55	0.905	-1.006	-0.2241
0.55	0.915	-1.12	-0.3239
0.55	0.925	-0.7255	-0.1946
0.55	0.935	-0.745	-0.2322
0.55	0.945	-0.6875	-0.2492
0.55	0.955	-0.5037	-0.2009
0.55	0.965	-0.282	-0.1577
0.55	0.975	0.01144	0.154
0.55	0.985	0.02632	0.1229
0.55	0.995	-0.01318	-0.1193
0.55	1.005	0.01591	0.1198
0.55	1.015	0.122	0.1152
0.55	1.025	0.1034	0.1852
0.55	1.035	0.374	0.1167
0.55	1.045	0.2069	0.1212
0.55	1.055	0.5309	0.1254
0.55	1.065	0.5397	0.153
0.55	1.075	0.6742	0.145
0.55	1.085	0.651	0.125
0.55	1.095	0.5791	0.113
0.55	1.105	0.5974	0.1095
0.55	1.115	0.546	0.1318
0.55	1.125	0.6278	0.1167
0.55	1.135	0.9032	0.1615
0.55	1.145	0.8396	0.1297
0.55	1.155	0.7361	0.1199
0.55	1.165	0.9183	0.1433
0.55	1.175	0.69	0.1163
0.55	1.185	0.7992	0.1211
0.55	1.195	0.8623	0.1422
0.55	1.205	0.8426	0.142
0.55	1.215	0.681	0.1116
0.55	1.225	0.896	0.1511
0.55	1.235	0.9261	0.137
0.55	1.245	1.065	0.1729
0.55	1.255	0.8131	0.1326
0.55	1.265	0.8816	0.1519
0.55	1.275	0.9477	0.1794
0.55	1.285	0.8544	0.142
0.55	1.295	0.9898	0.1964
0.55	1.305	0.8313	0.152
0.55	1.315	0.8169	0.1561
0.55	1.325	0.8042	0.1539
0.55	1.335	0.608	0.1428
0.55	1.345	0.7669	0.1836
0.55	1.355	0.9936	0.1956
0.55	1.365	0.8671	0.1474
0.55	1.375	0.9252	0.1956
0.55	1.385	0.9309	0.1752
0.55	1.395	1.052	0.2101
0.65	0.405	0.07825	0.03539
0.65	0.415	0.1553	0.06367
0.65	0.425	0.1074	0.03876
0.65	0.435	0.1803	0.0797
0.65	0.445	0.1105	0.06077
0.65	0.455	0.2584	0.1136
0.65	0.465	0.2016	0.08053
0.65	0.475	0.2708	0.1163
0.65	0.485	0.3289	0.1067
0.65	0.495	0.3122	0.1079
0.65	0.505	0.3189	0.08587
0.65	0.515	0.3469	0.1156
0.65	0.525	0.414	0.1056
0.65	0.535	0.4186	0.1602
0.65	0.545	0.4455	0.1113
0.65	0.555	0.3512	0.09393
0.65	0.565	0.5267	0.1378
0.65	0.575	0.4001	0.09445
0.65	0.585	0.4158	0.1294
0.65	0.595	0.4507	0.102
0.65	0.605	0.4428	0.103
0.65	0.615	0.4671	0.1334
0.65	0.625	0.4975	0.1846
0.65	0.635	0.4642	0.1704
0.65	0.645	0.3812	0.1618
0.65	0.655	0.3726	0.1224
0.65	0.665	0.4483	0.135
0.65	0.675	0.3331	0.148
0.65	0.685	0.2129	0.1955
0.65	0.695	0.1096	0.1447
0.65	0.705	0.06235	0.1661
0.65	0.715	-0.09773	-0.1526
0.65	0.725	-0.1729	-0.1605
0.65	0.735	-0.4781	-0.1797
0.65	0.745	-0.8054	-0.2211
0.65	0.755	-1.131	-0.3107
0.65	0.765	-1.197	-0.2334
0.65	0.775	-1.307	-0.3091
0.65	0.785	-1.27	-0.2977
0.65	0.795	-1.443	-0.2489
0.65	0.805	-1.32	-0.2788
0.65	0.815	-1.278	-0.2688
0.65	0.825	-1.369	-0.2983
0.65	0.835	-1.014	-0.1623
0.65	0.845	-0.8982	-0.1928
0.65	0.855	-0.8546	-0.2121
0.65	0.865	-0.774	-0.1822
0.65	0.875	-0.7345	-0.223
0.65	0.885	-0.6776	-0.171
0.65	0.895	-0.5591	-0.1389
0.65	0.905	-0.6736	-0.1762
0.65	0.915	-0.5867	-0.1587
0.65	0.925	-0.4735	-0.1237
0.65	0.935	-0.2958	-0.1118
0.65	0.945	-0.4079	-0.1566
0.65	0.955	-0.2229	-0.1557
0.65	0.965	-0.3633	-0.2154
0.65	0.975	-0.2576	-0.1515
0.65	0.985	0.1849	0.1296
0.65	0.995	-0.1566	-0.15
0.65	1.005	-0.01437	-0.09399
0.65	1.015	-0.04599	-0.1078
0.65	1.025	0.1219	0.1328
0.65	1.035	-0.05116	-0.09617
0.65	1.045	-0.01549	-0.1246
0.65	1.055	0.04122	0.1018
0.65	1.065	0.2302	0.1047
0.65	1.075	0.1601	0.1241
0.65	1.085	0.1385	0.1012
0.65	1.095	0.2348	0.1257
0.65	1.105	0.2474	0.1164
0.65	1.115	0.2723	0.08362
0.65	1.125	0.2179	0.08409
0.65	1.135	0.4349	0.1102
0.65	1.145	0.5075	0.1355
0.65	1.155	0.4181	0.1187
0.65	1.165	0.5573	0.1114
0.65	1.175	0.2089	0.08917
0.65	1.185	0.5977	0.1634
0.65	1.195	0.4313	0.1107
0.65	1.205	0.3564	0.1033
0.65	1.215	0.4077	0.1206
0.65	1.225	0.5861	0.1161
0.65	1.235	0.3298	0.1095
0.65	1.245	0.4433	0.1282
0.65	1.255	0.3758	0.1135
0.65	1.265	0.3178	0.1154
0.65	1.275	0.5323	0.1223
0.65	1.285	0.4427	0.1164
0.65	1.295	0.4754	0.1234
0.65	1.305	0.4154	0.1327
0.65	1.315	0.5389	0.1701
0.65	1.325	0.5209	0.1504
0.65	1.335	0.6081	0.1573
0.65	1.345	0.3597	0.1052
0.65	1.355	0.5738	0.2012
0.65	1.365	0.4531	0.1138
0.65	1.375	0.3349	0.1157
0.65	1.385	0.393	0.1071
0.65	1.395	0.5332	0.1687
0.75	0.405	0.0736	0.02713
0.75	0.415	0.1081	0.03066
0.75	0.425	0.07914	0.03883
0.75	0.435	0.07663	0.03625
0.75	0.445	0.2363	0.06935
0.75	0.455	0.2233	0.0964
0.75	0.465	0.2234	0.07226
0.75	0.475	0.3712	0.1749
0.75	0.485	0.2805	0.1152
0.75	0.495	0.3841	0.1646
0.75	0.505	0.3386	0.1426
0.75	0.515	0.24	0.07375
0.75	0.525	0.2367	0.08705
0.75	0.535	0.353	0.115
0.75	0.545	0.3279	0.09944
0.75	0.555	0.3628	0.1063
0.75	0.565	0.2782	0.07736
0.75	0.575	0.3979	0.1077
0.75	0.585	0.313	0.08053
0.75	0.595	0.4139	0.0919
0.75	0.605	0.3915	0.1166
0.75	0.615	0.2883	0.08995
0.75	0.625	0.4253	0.108
0.75	0.635	0.3462	0.121
0.75	0.645	0.4552	0.1074
0.75	0.655	0.4739	0.1172
0.75	0.665	0.3868	0.1218
0.75	0.675	0.4186	0.1285
0.75	0.685	0.4442	0.1148
0.75	0.695	0.3718	0.1502
0.75	0.705	0.3983	0.1138
0.75	0.715	0.2303	0.1313
0.75	0.725	0.1175	0.2134
0.75	0.735	-0.0854	-0.1679
0.75	0.745	0.02663	0.125
0.75	0.755	-0.3911	-0.1279
0.75	0.765	-0.5172	-0.1876
0.75	0.775	-0.5886	-0.211
0.75	0.785	-0.7099	-0.1877
0.75	0.795	-0.7502	-0.1729
0.75	0.805	-0.5675	-0.2024
0.75	0.815	-0.3724	-0.1286
0.75	0.825	-0.5079	-0.1198
0.75	0.835	-0.3987	-0.1599
0.75	0.845	-0.5014	-0.1184
0.75	0.855	-0.4068	-0.1261
0.75	0.865	-0.4886	-0.1798
0.75	0.875	-0.3572	-0.1457
0.75	0.885	-0.3358	-0.1309
0.75	0.895	-0.2247	-0.1032
0.75	0.905	-0.3182	-0.1518
0.75	0.915	-0.2275	-0.09884
0.75	0.925	-0.2337	-0.1258
0.75	0.935	-0.1083	-0.1038
0.75	0.945	-0.04221	-0.09147
0.75	0.955	-0.09341	-0.1085
0.75	0.965	0.0874	0.09904
0.75	0.975	-0.04669	-0.09082
0.75	0.985	-0.1506	-0.09196
0.75	0.995	0.05731	0.1134
0.75	1.005	0.05723	0.08382
0.75	1.015	0.01322	0.1117
0.75	1.025	-0.02685	-0.1282
0.75	1.035	0.07853	0.2051
0.75	1.045	0.09848	0.08531
0.75	1.055	0.04921	0.07574
0.75	1.065	0.16	0.16
0.75	1.075	-0.03356	-0.1319
0.75	1.085	0.1259	0.1321
0.75	1.095	0.002023	0.1204
0.75	1.105	0.134	0.1672
0.75	1.115	0.2108	0.1459
0.75	1.125	0.04337	0.1307
0.75	1.135	0.2027	0.1453
0.75	1.145	0.1606	0.1277
0.75	1.155	0.1505	0.1407
0.75	1.165	0.2061	0.0953
0.75	1.175	0.2323	0.1377
0.75	1.185	0.1924	0.1154
0.75	1.195	0.02528	0.1044
0.75	1.205	0.2889	0.1117
0.75	1.215	0.1462	0.1045
0.75	1.225	0.09112	0.1049
0.75	1.235	0.1123	0.1115
0.75	1.245	0.09548	0.1063
0.75	1.255	0.1821	0.1063
0.75	1.265	0.07207	0.1136
0.75	1.275	0.1975	0.1004
0.75	1.285	0.2024	0.1013
0.75	1.295	-0.02813	-0.09051
0.75	1.305	-0.01851	-0.08891
0.75	1.315	0.2437	0.1168
0.75	1.325	0.1938	0.0982
0.75	1.335	0.2186	0.1161
0.75	1.345	0.1982	0.1209
0.75	1.355	-0.04472	-0.09233
0.75	1.365	0.246	0.1008
0.75	1.375	0.2242	0.1225
0.75	1.385	0.1728	0.1111
0.75	1.395	0.2306	0.1039
0.85	0.405	0.08385	0.03084
0.85	0.415	0.08137	0.0312
0.85	0.425	0.04805	0.02747
0.85	0.435	0.1307	0.04608
0.85	0.445	0.1956	0.06804
0.85	0.455	0.2032	0.07881
0.85	0.465	0.2444	0.06983
0.85	0.475	0.1889	0.07159
0.85	0.485	0.317	0.1273
0.85	0.495	0.2554	0.1037
0.85	0.505	0.2424	0.1191
0.85	0.515	0.2436	0.09155
0.85	0.525	0.3113	0.1006
0.85	0.535	0.1944	0.07381
0.85	0.545	0.287	0.07477
0.85	0.555	0.2346	0.07042
0.85	0.565	0.2704	0.08373
0.85	0.575	0.3214	0.07778
0.85	0.585	0.1846	0.05713
0.85	0.595	0.2782	0.08397
0.85	0.605	0.2881	0.1016
0.85	0.615	0.1664	0.07255
0.85	0.625	0.2363	0.07007
0.85	0.635	0.291	0.07197
0.85	0.645	0.1765	0.07427
0.85	0.655	0.3631	0.08849
0.85	0.665	0.2998	0.09964
0.85	0.675	0.2797	0.1153
0.85	0.685	0.2766	0.1183
0.85	0.695	0.4573	0.1033
0.85	0.705	0.2809	0.1127
0.85	0.715	0.1265	0.09663
0.85	0.725	0.1281	0.1114
0.85	0.735	0.199	0.1471
0.85	0.745	-0.1011	-0.178
0.85	0.755	-0.07678	-0.161
0.85	0.765	-0.1776	-0.1471
0.85	0.775	-0.3648	-0.1194
0.85	0.785	-0.3219	-0.1646
0.85	0.795	-0.5239	-0.1795
0.85	0.805	-0.2457	-0.1147
0.85	0.815	-0.1813	-0.1244
0.85	0.825	-0.1403	-0.1641
0.85	0.835	-0.3861	-0.1318
0.85	0.845	-0.2143	-0.09171
0.85	0.855	-0.1946	-0.1184
0.85	0.865	-0.1909	-0.09684
0.85	0.875	-0.1784	-0.1051
0.85	0.885	-0.09067	-0.1626
0.85	0.895	-0.1064	-0.09859
0.85	0.905	-0.05914	-0.1139
0.85	0.915	-0.09331	-0.09601
0.85	0.925	0.009499	0.1184
0.85	0.935	-0.04994	-0.1058
0.85	0.945	-0.0802	-0.1034
0.85	0.955	0.03974	0.09145
0.85	0.965	0.001913	0.07841
0.85	0.975	-0.1538	-0.07013
0.85	0.985	0.1011	0.1105
0.85	0.995	-0.06005	-0.0793
0.85	1.005	-0.01016	-0.09306
0.85	1.015	0.0007603	0.1281
0.85	1.025	0.05728	0.1537
0.85	1.035	0.03883	0.1528
0.85	1.045	-0.0457	-0.1025
0.85	1.055	0.02408	0.08314
0.85	1.065	-0.05034	-0.1572
0.85	1.075	0.04763	0.1069
0.85	1.085	0.08787	0.1049
0.85	1.095	-0.0129	-0.1172
0.85	1.105	0.09694	0.1517
0.85	1.115	0.1586	0.1746
0.85	1.125	0.1309	0.1374
0.85	1.135	-0.04067	-0.1282
0.85	1.145	-0.0178	-0.07815
0.85	1.155	0.06953	0.1876
0.85	1.165	-0.0106	-0.07902
0.85	1.175	-0.009936	-0.097
0.85	1.185	-0.1695	-0.1083
0.85	1.195	-0.01937	-0.09018
0.85	1.205	-0.04894	-0.08485
0.85	1.215	0.008461	0.093
0.85	1.225	-0.1514	-0.08963
0.85	1.235	-0.0963	-0.08771
0.85	1.245	-0.1324	-0.08642
0.85	1.255	-0.12	-0.09802
0.85	1.265	-0.2608	-0.124
0.85	1.275	0.0228	0.08908
0.85	1.285	-0.202	-0.08909
0.85	1.295	-0.1038	-0.08416
0.85	1.305	-0.04825	-0.08839
0.85	1.315	0.03678	0.08445
0.85	1.325	-0.2242	-0.1025
0.85	1.335	0.05061	0.08845
0.85	1.345	-0.103	-0.0872
0.85	1.355	-0.1248	-0.0895
0.85	1.365	0.01174	0.09083
0.85	1.375	-0.04904	-0.08036
0.85	1.385	0.004517	0.09819
0.85	1.395	0.02239	0.08643
0.95	0.405	0.09427	0.02569
0.95	0.415	0.08774	0.0251
0.95	0.425	0.1266	0.03011
0.95	0.435	0.0749	0.02864
0.95	0.445	0.08272	0.02745
0.95	0.455	0.1348	0.04668
0.95	0.465	0.1814	0.08355
0.95	0.475	0.2069	0.05856
0.95	0.485	0.2287	0.1045
0.95	0.495	0.1937	0.06822
0.95	0.505	0.1986	0.05894
0.95	0.515	0.2369	0.08628
0.95	0.525	0.2079	0.1111
0.95	0.535	0.2459	0.09963
0.95	0.545	0.2497	0.07671
0.95	0.555	0.1617	0.05871
0.95	0.565	0.1964	0.06361
0.95	0.575	0.2065	0.04723
0.95	0.585	0.2577	0.06133
0.95	0.595	0.1355	0.05938
0.95	0.605	0.2765	0.06144
0.95	0.615	0.1583	0.056
0.95	0.625	0.2239	0.05983
0.95	0.635	0.1066	0.08469
0.95	0.645	0.2008	0.0628
0.95	0.655	0.1899	0.0662
0.95	0.665	0.2763	0.07507
0.95	0.675	0.3034	0.07428
0.95	0.685	0.01455	0.09178
0.95	0.695	0.1083	0.07736
0.95	0.705	0.1607	0.08716
0.95	0.715	0.2221	0.109
0.95	0.725	0.1198	0.1088
0.95	0.735	0.1249	0.1183
0.95	0.745	0.0473	0.125
0.95	0.755	-0.003527	-0.1061
0.95	0.765	-0.1614	-0.1223
0.95	0.775	-0.1967	-0.115
0.95	0.785	-0.3683	-0.1035
0.95	0.795	-0.3045	-0.09959
0.95	0.805	-0.1214	-0.09385
0.95	0.815	-0.0735	-0.1531
0.95	0.825	-0.2127	-0.08932
0.95	0.835	-0.1626	-0.09268
0.95	0.845	-0.1194	-0.1241
0.95	0.855	-0.1011	-0.08321
0.95	0.865	-0.1734	-0.07831
0.95	0.875	-0.1156	-0.07745
0.95	0.885	-0.09102	-0.08696
0.95	0.895	-0.09063	-0.08372
0.95	0.905	-0.05894	-0.0897
0.95	0.915	-0.004456	-0.08264
0.95	0.925	-0.05228	-0.1003
0.95	0.935	-0.1317	-0.1065
0.95	0.945	-0.0781	-0.1145
0.95	0.955	-0.02028	-0.1018
0.95	0.965	-0.08067	-0.07709
0.95	0.975	0.06009	0.1172
0.95	0.985	0.004382	0.1186
0.95	0.995	-0.09291	-0.07552
0.95	1.005	0.03415	0.1466
0.95	1.015	0.0468	0.06496
0.95	1.025	0.1125	0.1154
0.95	1.035	0.121	0.1242
0.95	1.045	0.04317	0.1202
0.95	1.055	0.02493	0.09945
0.95	1.065	0.02053	0.0913
0.95	1.075	0.03839	0.1112
0.95	1.085	0.02856	0.09038
0.95	1.095	0.025	0.1102
0.95	1.105	0.0319	0.1606
0.95	1.115	0.05447	0.07797
0.95	1.125	0.03257	0.1395
0.95	1.135	-0.0311	-0.07843
0.95	1.145	0.05919	0.1008
0.95	1.155	0.001691	0.1032
0.95	1.165	-0.09267	-0.07029
0.95	1.175	-0.1162	-0.122
0.95	1.185	-0.03608	-0.1582
0.95	1.195	-0.1036	-0.09734
0.95	1.205	-0.2237	-0.08997
0.95	1.215	-0.1987	-0.0876
0.95	1.225	-0.2881	-0.1048
0.95	1.235	-0.1913	-0.0815
0.95	1.245	-0.1887	-0.08204
0.95	1.255	-0.4006	-0.1238
0.95	1.265	-0.3428	-0.1519
0.95	1.275	-0.1643	-0.0924
0.95	1.285	-0.1782	-0.1024
0.95	1.295	-0.3136	-0.08608
0.95	1.305	-0.351	-0.1288
0.95	1.315	-0.2424	-0.09127
0.95	1.325	-0.2712	-0.1333
0.95	1.335	-0.3005	-0.09654
0.95	1.345	-0.2157	-0.09468
0.95	1.355	-0.1898	-0.08875
0.95	1.365	-0.3033	-0.0987
0.95	1.375	-0.2041	-0.08202
0.95	1.385	-0.1675	-0.09
0.95	1.395	-0.1716	-0.08309
