 -0.45 0.405   0.16390   0.31090
 -0.45 0.415   0.11760   0.13150
 -0.45 0.425   0.15090   0.19140
 -0.45 0.435   0.10660   0.17790
 -0.45 0.445   0.06881   0.28160
 -0.45 0.455   0.21580   0.32640
 -0.45 0.465   0.18250   0.28070
 -0.45 0.475   0.23030   0.22830
 -0.45 0.485   0.22100   0.36180
 -0.45 0.495   0.33230   0.38650
 -0.45 0.505   0.41430   0.43430
 -0.45 0.515   0.28210   0.21840
 -0.45 0.525   0.21530   0.23970
 -0.45 0.535   0.33660   0.24710
 -0.45 0.545   0.31850   0.18560
 -0.45 0.555   0.19650   0.17870
 -0.45 0.565   0.27130   0.19310
 -0.45 0.575   0.46700   0.66250
 -0.45 0.585   0.43190   0.37440
 -0.45 0.595   0.00226   0.19660
 -0.45 0.605   0.36920   0.39320
 -0.45 0.615   0.13540   0.60690
 -0.45 0.625   0.51600   0.80630
 -0.45 0.635  -0.09051   0.81120
 -0.45 0.645  -0.61020   0.57750
 -0.45 0.655  -0.32700   1.06300
 -0.45 0.665  -1.16500   0.83850
 -0.45 0.675  -1.67500   1.30400
 -0.45 0.685  -2.06300   1.39600
 -0.45 0.695  -2.39700   1.78300
 -0.45 0.705  -3.53500   0.85840
 -0.45 0.715  -3.95500   1.86700
 -0.45 0.725  -5.96500   1.20200
 -0.45 0.735  -5.79700   1.83400
 -0.45 0.745  -6.64500   1.00900
 -0.45 0.755  -8.33600   1.40000
 -0.45 0.765  -9.09100   1.03600
 -0.45 0.775  -9.36600   1.00900
 -0.45 0.785  -9.35900   1.44800
 -0.45 0.795  -7.68000   0.87050
 -0.45 0.805  -7.74400   1.14500
 -0.45 0.815  -6.65100   0.83760
 -0.45 0.825  -6.01500   0.92330
 -0.45 0.835  -5.54700   1.03600
 -0.45 0.845  -4.52000   0.70440
 -0.45 0.855  -4.45400   0.89560
 -0.45 0.865  -3.86600   0.87520
 -0.45 0.875  -3.32300   0.62240
 -0.45 0.885  -3.15500   1.14800
 -0.45 0.895  -2.30100   0.53750
 -0.45 0.905  -2.17100   0.64260
 -0.45 0.915  -1.77000   0.65320
 -0.45 0.925  -1.54000   0.77550
 -0.45 0.935  -0.99070   0.40870
 -0.45 0.945  -0.80390   0.45260
 -0.45 0.955  -0.74150   0.56580
 -0.45 0.965  -0.43710   0.38510
 -0.45 0.975  -0.08090   0.28130
 -0.45 0.985   0.22340   0.21250
 -0.45 0.995   0.22560   0.24820
 -0.45 1.005   0.31670   0.20620
 -0.45 1.015   0.59350   0.16370
 -0.45 1.025   0.51260   0.18490
 -0.45 1.035   0.83170   0.14780
 -0.45 1.045   0.74110   0.13960
 -0.45 1.055   1.15500   0.19220
 -0.45 1.065   0.85830   0.18680
 -0.45 1.075   1.13800   0.17830
 -0.45 1.085   1.35100   0.24340
 -0.45 1.095   1.27500   0.19080
 -0.45 1.105   1.37400   0.18520
 -0.45 1.115   1.64100   0.30670
 -0.45 1.125   1.30200   0.20680
 -0.45 1.135   1.59500   0.22840
 -0.45 1.145   1.56600   0.24560
 -0.45 1.155   1.48400   0.19800
 -0.45 1.165   1.82600   0.28630
 -0.45 1.175   1.80700   0.29580
 -0.45 1.185   1.62600   0.26540
 -0.45 1.195   1.87700   0.33350
 -0.45 1.205   1.67500   0.22550
 -0.45 1.215   1.58300   0.21970
 -0.45 1.225   1.58100   0.19410
 -0.45 1.235   1.56600   0.19240
 -0.45 1.245   1.51700   0.20290
 -0.45 1.255   1.60600   0.21300
 -0.45 1.265   1.81200   0.27380
 -0.45 1.275   1.78600   0.29850
 -0.45 1.285   1.83800   0.27860
 -0.45 1.295   1.83800   0.27030
 -0.45 1.305   1.70200   0.26320
 -0.45 1.315   1.63100   0.20690
 -0.45 1.325   1.40300   0.18180
 -0.45 1.335   1.79400   0.25860
 -0.45 1.345   1.57300   0.26010
 -0.45 1.355   1.71600   0.25290
 -0.45 1.365   1.74300   0.22530
 -0.45 1.375   1.39000   0.22870
 -0.45 1.385   1.46400   0.20450
 -0.45 1.395   1.45300   0.22420
 -0.55 0.405   0.05823   0.08095
 -0.55 0.415   0.08351   0.07051
 -0.55 0.425   0.08660   0.07653
 -0.55 0.435   0.12100   0.09962
 -0.55 0.445   0.12390   0.10380
 -0.55 0.455   0.17390   0.08307
 -0.55 0.465   0.20420   0.12730
 -0.55 0.475   0.25470   0.12520
 -0.55 0.485   0.19620   0.15550
 -0.55 0.495   0.18290   0.11560
 -0.55 0.505   0.36330   0.10610
 -0.55 0.515   0.21260   0.13600
 -0.55 0.525   0.27620   0.21730
 -0.55 0.535   0.30610   0.19460
 -0.55 0.545   0.30230   0.12590
 -0.55 0.555   0.24610   0.21460
 -0.55 0.565   0.42270   0.14910
 -0.55 0.575   0.45770   0.17350
 -0.55 0.585   0.34600   0.17050
 -0.55 0.595   0.34090   0.17870
 -0.55 0.605   0.49520   0.14080
 -0.55 0.615   0.42000   0.15260
 -0.55 0.625   0.26220   0.20120
 -0.55 0.635   0.59330   0.19520
 -0.55 0.645   0.38050   0.35820
 -0.55 0.655   0.47780   0.58360
 -0.55 0.665  -0.14400   0.36020
 -0.55 0.675   0.00517   0.39930
 -0.55 0.685  -0.12770   0.55380
 -0.55 0.695  -0.53090   0.21660
 -0.55 0.705  -0.88760   0.42750
 -0.55 0.715  -1.89200   0.41060
 -0.55 0.725  -1.85800   0.36130
 -0.55 0.735  -1.83300   0.57470
 -0.55 0.745  -2.98200   0.46280
 -0.55 0.755  -3.28300   0.52740
 -0.55 0.765  -3.21900   0.52300
 -0.55 0.775  -3.49500   0.70500
 -0.55 0.785  -3.32700   0.59250
 -0.55 0.795  -3.81000   0.54430
 -0.55 0.805  -3.51400   0.62330
 -0.55 0.815  -2.97800   0.36380
 -0.55 0.825  -2.78000   0.44810
 -0.55 0.835  -2.26000   0.25890
 -0.55 0.845  -2.34600   0.48100
 -0.55 0.855  -2.31500   0.55920
 -0.55 0.865  -1.82300   0.33730
 -0.55 0.875  -1.65200   0.36780
 -0.55 0.885  -1.40500   0.34880
 -0.55 0.895  -1.37500   0.29900
 -0.55 0.905  -1.05600   0.22980
 -0.55 0.915  -0.99820   0.45540
 -0.55 0.925  -0.97910   0.30800
 -0.55 0.935  -0.68760   0.22020
 -0.55 0.945  -0.68430   0.26320
 -0.55 0.955  -0.64230   0.24990
 -0.55 0.965  -0.51440   0.23870
 -0.55 0.975  -0.41110   0.15330
 -0.55 0.985  -0.26880   0.18070
 -0.55 0.995  -0.06881   0.26900
 -0.55 1.005  -0.19310   0.21030
 -0.55 1.015   0.15490   0.14060
 -0.55 1.025  -0.09793   0.21820
 -0.55 1.035   0.09294   0.17690
 -0.55 1.045   0.33670   0.20000
 -0.55 1.055   0.43310   0.14630
 -0.55 1.065   0.23010   0.12660
 -0.55 1.075   0.41910   0.13170
 -0.55 1.085   0.57870   0.10860
 -0.55 1.095   0.53140   0.14010
 -0.55 1.105   0.74030   0.17920
 -0.55 1.115   0.67490   0.12760
 -0.55 1.125   0.76810   0.18850
 -0.55 1.135   0.96300   0.20770
 -0.55 1.145   0.83840   0.13290
 -0.55 1.155   0.91910   0.17250
 -0.55 1.165   0.88870   0.14390
 -0.55 1.175   0.89460   0.17300
 -0.55 1.185   0.85530   0.15480
 -0.55 1.195   0.88010   0.15680
 -0.55 1.205   0.87260   0.15270
 -0.55 1.215   0.94150   0.16860
 -0.55 1.225   0.76770   0.14380
 -0.55 1.235   0.82730   0.13530
 -0.55 1.245   0.84430   0.13980
 -0.55 1.255   0.77780   0.12960
