CLAS physics database search results
Measurement E28M22
g11
M. Battaglieri
2009

-t variable	M(pi+,pi-)	Y_22	Data errors
GeV2	GeV	mcb/GeV3	mcb/GeV3
0.45	0.405	-0.01807	-0.1213
0.45	0.415	-0.05276	-0.1366
0.45	0.425	0.136	0.1944
0.45	0.435	-0.08893	-0.1075
0.45	0.445	-0.0952	-0.2746
0.45	0.455	0.003354	0.19
0.45	0.465	-0.04536	-0.1554
0.45	0.475	-0.2667	-0.2628
0.45	0.485	-0.1636	-0.133
0.45	0.495	-0.3328	-0.2719
0.45	0.505	-0.3764	-0.2859
0.45	0.515	-0.379	-0.2294
0.45	0.525	-0.1466	-0.1672
0.45	0.535	-0.726	-0.7657
0.45	0.545	-0.4505	-0.3136
0.45	0.555	-0.2224	-0.2892
0.45	0.565	-0.3257	-0.1567
0.45	0.575	-0.4499	-0.1551
0.45	0.585	-0.3013	-0.2207
0.45	0.595	-0.4611	-0.1939
0.45	0.605	-0.1821	-0.2562
0.45	0.615	-0.465	-0.268
0.45	0.625	-0.559	-0.2244
0.45	0.635	-0.4768	-0.3978
0.45	0.645	0.05563	0.3622
0.45	0.655	-0.2971	-0.5048
0.45	0.665	-0.5889	-0.6398
0.45	0.675	-0.07655	-0.3967
0.45	0.685	-0.1643	-0.5236
0.45	0.695	0.5101	0.4616
0.45	0.705	0.9889	0.3614
0.45	0.715	0.5671	0.468
0.45	0.725	0.7857	0.5862
0.45	0.735	2.241	0.4492
0.45	0.745	2.388	0.4276
0.45	0.755	2.757	0.7015
0.45	0.765	3.306	0.5189
0.45	0.775	3.064	0.6119
0.45	0.785	3.735	0.8606
0.45	0.795	3.535	0.6905
0.45	0.805	3.244	0.5433
0.45	0.815	3.036	0.4826
0.45	0.825	3.151	0.8932
0.45	0.835	2.902	0.6148
0.45	0.845	2.907	0.5512
0.45	0.855	2.317	0.3419
0.45	0.865	2.032	0.4692
0.45	0.875	2.047	0.371
0.45	0.885	1.773	0.2832
0.45	0.895	1.472	0.2618
0.45	0.905	1.462	0.2973
0.45	0.915	1.342	0.3411
0.45	0.925	1.312	0.2952
0.45	0.935	1.124	0.3066
0.45	0.945	1.077	0.3003
0.45	0.955	0.7107	0.3446
0.45	0.965	0.9843	0.2342
0.45	0.975	0.6844	0.1774
0.45	0.985	0.6137	0.382
0.45	0.995	0.6405	0.348
0.45	1.005	0.6085	0.3177
