CLAS physics database search results
Measurement E28M7
g11
M. Battaglieri
2009

-t variable	M(pi+,pi-)	Y_10	Data errors
GeV2	GeV	mcb/GeV3	mcb/GeV3
0.45	0.405	0.02127	0.1759
0.45	0.415	-0.06979	-0.2176
0.45	0.425	0.04461	0.1749
0.45	0.435	-0.2662	-0.1473
0.45	0.445	-0.156	-0.1588
0.45	0.455	-0.2034	-0.1586
0.45	0.465	-0.1896	-0.1467
0.45	0.475	-0.3163	-0.1267
0.45	0.485	-0.1723	-0.2499
0.45	0.495	-0.499	-0.1159
0.45	0.505	-0.4058	-0.2078
0.45	0.515	-0.521	-0.1307
0.45	0.525	-0.7741	-0.1329
0.45	0.535	-0.6108	-0.2976
0.45	0.545	-0.6505	-0.1472
0.45	0.555	-0.8879	-0.1348
0.45	0.565	-0.6533	-0.1437
0.45	0.575	-0.932	-0.1749
0.45	0.585	-0.8316	-0.1712
0.45	0.595	-1.067	-0.1999
0.45	0.605	-1.075	-0.2719
0.45	0.615	-1.197	-0.3073
0.45	0.625	-1.291	-0.3828
0.45	0.635	-1.548	-0.3221
0.45	0.645	-1.501	-0.4181
0.45	0.655	-1.993	-0.5848
0.45	0.665	-1.964	-0.5825
0.45	0.675	-2.2	-0.6528
0.45	0.685	-2.395	-0.7944
0.45	0.695	-3.129	-0.9524
0.45	0.705	-3.09	-1.12
0.45	0.715	-3.353	-0.789
0.45	0.725	-3.675	-0.9045
0.45	0.735	-4.217	-1.106
0.45	0.745	-4.028	-1.224
0.45	0.755	-4.298	-1.538
0.45	0.765	-3.898	-1.403
0.45	0.775	-3.678	-0.7629
0.45	0.785	-2.8	-0.8055
0.45	0.795	-1.616	-0.7121
0.45	0.805	-1.461	-0.3965
0.45	0.815	-1.126	-0.7136
0.45	0.825	-1.006	-0.5137
0.45	0.835	-0.6859	-0.4606
0.45	0.845	-0.7715	-0.4493
0.45	0.855	-0.1463	-0.3356
0.45	0.865	-0.1781	-0.4746
0.45	0.875	-0.3368	-0.4019
0.45	0.885	-0.1051	-0.3785
0.45	0.895	0.1754	0.2462
0.45	0.905	-0.09387	-0.4494
0.45	0.915	-0.5949	-0.4449
0.45	0.925	-0.1884	-0.4765
0.45	0.935	-0.4288	-0.5258
0.45	0.945	-0.5483	-0.4562
0.45	0.955	-0.4445	-0.2749
0.45	0.965	-0.2817	-0.4465
0.45	0.975	-0.6527	-0.4934
0.45	0.985	-0.5517	-0.4208
0.45	0.995	-0.4353	-0.5042
0.45	1.005	-0.6408	-0.4539
0.45	1.015	-0.5106	-0.5586
0.45	1.025	-0.4263	-0.3512
0.45	1.035	-0.5527	-0.478
0.45	1.045	-0.3651	-0.5146
0.45	1.055	-0.3904	-0.4696
0.45	1.065	-0.647	-0.4126
0.45	1.075	-0.7583	-0.5365
0.45	1.085	-0.3791	-0.4114
0.45	1.095	-0.2053	-0.3132
0.45	1.105	-0.3428	-0.3402
0.45	1.115	0.1665	0.3044
0.45	1.125	-0.5323	-0.435
0.45	1.135	-0.0584	-0.3538
0.45	1.145	-0.2994	-0.3474
0.45	1.155	0.08546	0.2559
0.45	1.165	-0.1242	-0.2277
0.45	1.175	0.09436	0.2335
0.45	1.185	-0.1869	-0.3222
0.45	1.195	-0.1666	-0.3112
0.45	1.205	0.02402	0.3174
0.45	1.215	0.1199	0.2071
0.45	1.225	-0.05751	-0.3048
0.45	1.235	-0.1078	-0.2305
0.45	1.245	-0.1405	-0.3216
0.45	1.255	0.1016	0.2672
0.45	1.265	-0.2236	-0.2859
0.45	1.275	-0.01052	-0.2829
0.45	1.285	-0.05949	-0.2871
0.45	1.295	-0.07616	-0.2945
0.45	1.305	-0.00675	-0.3271
0.45	1.315	-0.3529	-0.3784
0.45	1.325	-0.1805	-0.3777
0.45	1.335	-0.1231	-0.3706
0.45	1.345	0.06009	0.2882
0.45	1.355	0.1126	0.3165
0.45	1.365	-0.1626	-0.3426
0.45	1.375	-0.09397	-0.4579
0.45	1.385	0.02858	0.3414
0.45	1.395	-0.2483	-0.2519
0.55	0.405	0.04775	0.05836
0.55	0.415	0.06224	0.07223
0.55	0.425	-0.05121	-0.06456
0.55	0.435	-0.115	-0.07469
0.55	0.445	-0.2583	-0.09753
0.55	0.455	-0.2364	-0.1038
0.55	0.465	-0.3125	-0.1331
