CLAS physics database search results
Measurement E28M19
g11
M. Battaglieri
2009

-t variable	M(pi+,pi-)	Y_21	Data errors
0.75	0.865	0.4186	0.1337
0.75	0.875	0.4109	0.07707
0.75	0.885	0.3433	0.1105
0.75	0.895	0.3068	0.1358
0.75	0.905	0.3967	0.07701
0.75	0.915	0.2874	0.1038
0.75	0.925	0.3979	0.08204
0.75	0.935	0.3163	0.08109
0.75	0.945	0.3572	0.07709
0.75	0.955	0.3913	0.09417
0.75	0.965	0.3783	0.09382
0.75	0.975	0.3797	0.0878
0.75	0.985	0.4338	0.07594
0.75	0.995	0.2474	0.08544
0.75	1.005	0.3645	0.0805
0.75	1.015	0.3289	0.08196
0.75	1.025	0.3213	0.1306
0.75	1.035	0.3325	0.1103
0.75	1.045	0.3231	0.1069
0.75	1.055	0.336	0.06547
0.75	1.065	0.2867	0.1156
0.75	1.075	0.3868	0.1072
0.75	1.085	0.3119	0.09707
0.75	1.095	0.3315	0.1246
0.75	1.105	0.3974	0.1411
0.75	1.115	0.4009	0.09113
0.75	1.125	0.424	0.1591
0.75	1.135	0.4552	0.1208
0.75	1.145	0.4064	0.09521
0.75	1.155	0.4793	0.1345
0.75	1.165	0.4805	0.0753
0.75	1.175	0.4281	0.08189
0.75	1.185	0.5156	0.09523
0.75	1.195	0.505	0.07503
0.75	1.205	0.5452	0.08208
0.75	1.215	0.5202	0.08596
0.75	1.225	0.5402	0.09014
0.75	1.235	0.5635	0.09276
0.75	1.245	0.5556	0.08493
0.75	1.255	0.6154	0.09282
0.75	1.265	0.695	0.1669
0.75	1.275	0.6354	0.09138
0.75	1.285	0.5616	0.08786
0.75	1.295	0.5066	0.08331
0.75	1.305	0.6333	0.09115
0.75	1.315	0.6249	0.1236
0.75	1.325	0.6429	0.104
0.75	1.335	0.5392	0.09102
0.75	1.345	0.5585	0.08942
0.75	1.355	0.6505	0.1128
0.75	1.365	0.5906	0.1095
0.75	1.375	0.4684	0.07907
0.75	1.385	0.4584	0.1008
0.75	1.395	0.5771	0.09243
0.85	0.405	0.01992	0.02689
0.85	0.415	0.02256	0.03928
0.85	0.425	0.04742	0.03581
0.85	0.435	0.01223	0.02478
0.85	0.445	-0.03785	-0.04063
0.85	0.455	0.006192	0.02879
0.85	0.465	-0.05461	-0.03432
0.85	0.475	-0.009709	-0.06672
0.85	0.485	-0.1133	-0.06577
0.85	0.495	-0.0125	-0.04298
0.85	0.505	-0.05104	-0.06333
0.85	0.515	-0.02839	-0.07747
0.85	0.525	-0.09079	-0.05314
0.85	0.535	-0.02018	-0.06855
0.85	0.545	0.025	0.08328
0.85	0.555	-0.02534	-0.04716
0.85	0.565	-0.07336	-0.08759
0.85	0.575	-0.0007879	-0.08443
0.85	0.585	0.05487	0.07499
0.85	0.595	0.004005	0.06834
0.85	0.605	-0.06398	-0.06923
0.85	0.615	-0.06805	-0.08098
0.85	0.625	-0.06093	-0.06826
0.85	0.635	-0.06075	-0.07543
0.85	0.645	-0.01515	-0.08398
0.85	0.655	-0.01187	-0.09387
0.85	0.665	-0.1049	-0.07606
0.85	0.675	0.05156	0.1199
0.85	0.685	-0.1156	-0.08089
0.85	0.695	-0.1255	-0.101
0.85	0.705	-0.1177	-0.1024
0.85	0.715	-0.09216	-0.1154
0.85	0.725	-0.2131	-0.09657
0.85	0.735	-0.242	-0.09012
0.85	0.745	-0.3383	-0.1456
0.85	0.755	-0.2296	-0.1154
0.85	0.765	0.02708	0.08964
0.85	0.775	-0.1571	-0.1099
0.85	0.785	-0.06284	-0.09236
0.85	0.795	-0.08274	-0.08718
0.85	0.805	-0.01236	-0.07735
0.85	0.815	0.08672	0.06547
0.85	0.825	0.109	0.07391
0.85	0.835	0.1544	0.08167
0.85	0.845	0.1862	0.0658
0.85	0.855	0.1417	0.04983
0.85	0.865	0.08727	0.06725
0.85	0.875	0.204	0.07182
0.85	0.885	0.1534	0.06313
0.85	0.895	0.1307	0.08725
0.85	0.905	0.119	0.06315
0.85	0.915	0.1671	0.05154
0.85	0.925	0.1049	0.08
0.85	0.935	0.1046	0.05934
0.85	0.945	0.1861	0.06671
0.85	0.955	0.151	0.06211
0.85	0.965	0.2365	0.05415
0.85	0.975	0.1604	0.04771
0.85	0.985	0.1904	0.06517
0.85	0.995	0.2196	0.05406
0.85	1.005	0.2096	0.06414
0.85	1.015	0.2467	0.1143
0.85	1.025	0.2529	0.1044
0.85	1.035	0.2403	0.1451
0.85	1.045	0.2402	0.1238
0.85	1.055	0.1804	0.04426
0.85	1.065	0.2467	0.07494
0.85	1.075	0.2132	0.06993
0.85	1.085	0.1995	0.05216
0.85	1.095	0.1808	0.0887
0.85	1.105	0.2864	0.08394
0.85	1.115	0.2391	0.07119
0.85	1.125	0.2392	0.0686
0.85	1.135	0.2726	0.07367
0.85	1.145	0.3006	0.05637
0.85	1.155	0.3203	0.1049
0.85	1.165	0.3185	0.05395
0.85	1.175	0.2625	0.0629
0.85	1.185	0.3138	0.08562
0.85	1.195	0.369	0.0725
0.85	1.205	0.4546	0.07575
0.85	1.215	0.4124	0.06603
0.85	1.225	0.3795	0.0693
0.85	1.235	0.4459	0.07306
0.85	1.245	0.4078	0.07226
0.85	1.255	0.5686	0.07833
0.85	1.265	0.4992	0.07613
0.85	1.275	0.3726	0.07822
0.85	1.285	0.4427	0.09309
0.85	1.295	0.4332	0.06989
0.85	1.305	0.4288	0.07022
0.85	1.315	0.4565	0.07288
0.85	1.325	0.4943	0.08003
0.85	1.335	0.3654	0.0713
0.85	1.345	0.4255	0.08952
0.85	1.355	0.5052	0.09232
0.85	1.365	0.3275	0.06542
0.85	1.375	0.4215	0.07042
0.85	1.385	0.3778	0.0632
0.85	1.395	0.4429	0.07697
0.95	0.405	0.004963	0.0177
0.95	0.415	0.001025	0.02317
0.95	0.425	-0.004327	-0.02216
0.95	0.435	0.05858	0.0263
0.95	0.445	0.01614	0.0307
0.95	0.455	0.03029	0.02283
0.95	0.465	-0.01068	-0.02893
0.95	0.475	-0.007386	-0.05099
0.95	0.485	-0.04954	-0.03472
0.95	0.495	-0.06955	-0.03442
0.95	0.505	-0.01838	-0.03673
0.95	0.515	-0.01353	-0.0615
0.95	0.525	-0.09609	-0.05314
0.95	0.535	-0.06521	-0.05107
0.95	0.545	-0.06828	-0.0435
0.95	0.555	0.01499	0.04774
0.95	0.565	-0.01518	-0.03835
0.95	0.575	-0.0378	-0.04123
0.95	0.585	-0.03928	-0.1142
0.95	0.595	0.00479	0.1003
0.95	0.605	-0.04919	-0.07146
0.95	0.615	-0.04258	-0.09224
0.95	0.625	-0.04599	-0.05551
0.95	0.635	-0.1914	-0.06085
0.95	0.645	-0.1012	-0.06741
0.95	0.655	-0.04182	-0.06918
0.95	0.665	-0.1534	-0.07625
0.95	0.675	-0.1647	-0.06895
0.95	0.685	-0.1991	-0.08013
0.95	0.695	-0.1985	-0.1331
0.95	0.705	-0.1987	-0.1223
0.95	0.715	-0.2915	-0.09844
0.95	0.725	-0.182	-0.1356
0.95	0.735	-0.2871	-0.1012
0.95	0.745	-0.2939	-0.1162
0.95	0.755	-0.3242	-0.1145
0.95	0.765	-0.2379	-0.1134
0.95	0.775	-0.3024	-0.1012
0.95	0.785	-0.2611	-0.07783
0.95	0.795	-0.2534	-0.07921
0.95	0.805	-0.2009	-0.07805
0.95	0.815	-0.1282	-0.06881
0.95	0.825	-0.06748	-0.06135
0.95	0.835	-0.02856	-0.0497
0.95	0.845	-0.02323	-0.04804
0.95	0.855	-0.008375	-0.04399
0.95	0.865	0.08608	0.04332
0.95	0.875	0.03958	0.03776
0.95	0.885	0.08957	0.04151
0.95	0.895	0.03783	0.0424
0.95	0.905	0.06916	0.03367
0.95	0.915	0.1014	0.03171
0.95	0.925	0.06656	0.05094
0.95	0.935	0.08698	0.03803
0.95	0.945	0.1221	0.04834
0.95	0.955	0.07292	0.03972
0.95	0.965	0.05746	0.03603
0.95	0.975	0.1002	0.03642
0.95	0.985	0.1123	0.04049
0.95	0.995	0.1809	0.04361
0.95	1.005	0.1387	0.03258
0.95	1.015	0.1261	0.0322
0.95	1.025	0.1155	0.03361
0.95	1.035	0.1261	0.04332
0.95	1.045	0.1035	0.03267
0.95	1.055	0.1473	0.038
0.95	1.065	0.1472	0.03905
0.95	1.075	0.1465	0.03569
0.95	1.085	0.2192	0.04224
0.95	1.095	0.1243	0.03983
0.95	1.105	0.1644	0.05706
0.95	1.115	0.2186	0.04106
0.95	1.125	0.2534	0.06751
0.95	1.135	0.1456	0.04224
0.95	1.145	0.1374	0.04224
0.95	1.155	0.2922	0.07979
0.95	1.165	0.2289	0.04537
0.95	1.175	0.3024	0.07958
0.95	1.185	0.2909	0.05526
0.95	1.195	0.3391	0.1155
0.95	1.205	0.2728	0.06491
0.95	1.215	0.3264	0.08175
0.95	1.225	0.2697	0.05535
0.95	1.235	0.2504	0.0522
0.95	1.245	0.4558	0.1126
0.95	1.255	0.308	0.06955
0.95	1.265	0.2859	0.0562
0.95	1.275	0.3226	0.1003
0.95	1.285	0.4579	0.09687
0.95	1.295	0.3219	0.06696
0.95	1.305	0.2304	0.05463
0.95	1.315	0.3102	0.06903
0.95	1.325	0.2981	0.07238
0.95	1.335	0.3378	0.07511
0.95	1.345	0.2465	0.05523
0.95	1.355	0.2423	0.07999
0.95	1.365	0.2691	0.05469
0.95	1.375	0.1872	0.0612
0.95	1.385	0.2962	0.07696
0.95	1.395	0.2034	0.05534
