CLAS physics database search results
Measurement E28M19
g11
M. Battaglieri
2009

-t variable	M(pi+,pi-)	Y_21	Data errors
GeV2	GeV	mcb/GeV3	mcb/GeV3
0.45	0.405	-0.04646	-0.1524
0.45	0.415	-0.007193	-0.1974
0.45	0.425	0.06448	0.1647
0.45	0.435	-0.0824	-0.1121
0.45	0.445	-0.01606	-0.1287
0.45	0.455	0.02512	0.1734
0.45	0.465	0.021	0.1841
0.45	0.475	-0.03427	-0.1366
0.45	0.485	0.04578	0.2572
0.45	0.495	-0.1322	-0.1029
0.45	0.505	-0.0571	-0.2331
0.45	0.515	-0.1961	-0.1468
0.45	0.525	-0.206	-0.1234
0.45	0.535	-0.1509	-0.3461
0.45	0.545	-0.06877	-0.1714
0.45	0.555	-0.3108	-0.127
0.45	0.565	-0.1973	-0.1786
0.45	0.575	-0.4093	-0.1586
0.45	0.585	-0.351	-0.169
0.45	0.595	-0.2699	-0.1928
0.45	0.605	-0.4552	-0.2792
0.45	0.615	-0.504	-0.3133
0.45	0.625	-0.5093	-0.3975
0.45	0.635	-0.735	-0.3135
0.45	0.645	-0.513	-0.4397
0.45	0.655	-0.9318	-0.6218
0.45	0.665	-0.7374	-0.6219
0.45	0.675	-0.7842	-0.7081
0.45	0.685	-0.7148	-0.8633
0.45	0.695	-0.7924	-1.004
0.45	0.705	-0.5174	-1.214
0.45	0.715	-0.1597	-0.7764
0.45	0.725	0.5685	0.7993
0.45	0.735	0.5918	1.002
0.45	0.745	1.222	1.125
0.45	0.755	1.856	1.353
0.45	0.765	2.351	1.224
0.45	0.775	3.299	0.4668
0.45	0.785	2.857	0.559
0.45	0.795	3.158	0.4817
0.45	0.805	3.26	0.3806
0.45	0.815	3.477	0.492
0.45	0.825	3.548	0.4118
0.45	0.835	3.468	0.4113
0.45	0.845	3.279	0.4411
0.45	0.855	3.436	0.4116
0.45	0.865	3.201	0.4353
0.45	0.875	2.849	0.3668
0.45	0.885	2.993	0.398
0.45	0.895	3.008	0.39
0.45	0.905	2.73	0.4322
0.45	0.915	2.366	0.4154
0.45	0.925	2.653	0.4274
0.45	0.935	2.489	0.4897
0.45	0.945	2.383	0.4419
0.45	0.955	2.549	0.315
0.45	0.965	2.298	0.4323
0.45	0.975	2.123	0.4575
0.45	0.985	2.175	0.3492
0.45	0.995	2.269	0.4056
0.45	1.005	2	0.2834
0.45	1.015	2.03	0.4457
0.45	1.025	2.042	0.2859
0.45	1.035	1.93	0.2977
0.45	1.045	1.946	0.3867
0.45	1.055	1.99	0.4025
0.45	1.065	1.822	0.3178
0.45	1.075	1.664	0.3248
0.45	1.085	1.851	0.338
0.45	1.095	2.044	0.2441
0.45	1.105	1.949	0.2294
0.45	1.115	2.052	0.2923
0.45	1.125	1.746	0.2366
0.45	1.135	1.972	0.2861
0.45	1.145	1.647	0.2175
0.45	1.155	1.989	0.303
0.45	1.165	1.772	0.2428
0.45	1.175	1.853	0.3116
0.45	1.185	1.555	0.2145
0.45	1.195	1.606	0.2443
0.45	1.205	1.68	0.2417
0.45	1.215	1.683	0.2793
0.45	1.225	1.582	0.257
0.45	1.235	1.74	0.3085
0.45	1.245	1.604	0.2447
0.45	1.255	1.882	0.4622
0.45	1.265	1.658	0.2461
0.45	1.275	1.861	0.2753
0.45	1.285	1.772	0.2925
0.45	1.295	1.715	0.2447
0.45	1.305	1.766	0.2753
0.45	1.315	1.466	0.2035
0.45	1.325	1.617	0.2134
0.45	1.335	1.398	0.2014
0.45	1.345	1.593	0.2402
0.45	1.355	1.544	0.2212
0.45	1.365	1.462	0.2051
0.45	1.375	1.264	0.1969
0.45	1.385	1.54	0.192
0.45	1.395	1.577	0.2642
0.55	0.405	-0.009004	-0.0504
0.55	0.415	-0.01121	-0.06872
0.55	0.425	-0.04142	-0.05334
0.55	0.435	-0.02933	-0.05972
0.55	0.445	-0.09897	-0.08681
0.55	0.455	-0.07382	-0.09208
0.55	0.465	-0.07476	-0.1037
0.55	0.475	-0.06636	-0.1119
0.55	0.485	-0.09755	-0.1279
0.55	0.495	-0.07633	-0.07094
0.55	0.505	-0.1213	-0.1289
0.55	0.515	0.005037	0.128
0.55	0.525	-0.03268	-0.121
0.55	0.535	-0.05167	-0.166
0.55	0.545	-0.05478	-0.08991
0.55	0.555	-0.03875	-0.09768
0.55	0.565	-0.001646	-0.1175
0.55	0.575	-0.1169	-0.09021
0.55	0.585	0.04401	0.1155
0.55	0.595	-0.05784	-0.09945
0.55	0.605	0.0203	0.1769
0.55	0.615	-0.04882	-0.1335
0.55	0.625	0.04251	0.1194
0.55	0.635	0.00136	0.1296
0.55	0.645	0.03697	0.1311
0.55	0.655	-0.1853	-0.1435
0.55	0.665	-0.1961	-0.223
0.55	0.675	-0.1355	-0.2506
0.55	0.685	-0.1843	-0.3485
0.55	0.695	-0.1353	-0.4248
0.55	0.705	0.07007	0.3041
0.55	0.715	0.1316	0.4542
0.55	0.725	0.5197	0.407
0.55	0.735	0.5402	0.4928
0.55	0.745	0.801	0.4617
0.55	0.755	1.499	0.4442
0.55	0.765	1.613	0.4023
0.55	0.775	1.619	0.2658
0.55	0.785	1.831	0.2958
0.55	0.795	1.655	0.2235
0.55	0.805	1.59	0.2256
0.55	0.815	1.608	0.3418
0.55	0.825	1.624	0.2949
0.55	0.835	1.72	0.2778
0.55	0.845	1.767	0.2844
0.55	0.855	1.474	0.301
0.55	0.865	1.541	0.2274
0.55	0.875	1.517	0.2067
0.55	0.885	1.452	0.2199
0.55	0.895	1.318	0.2144
0.55	0.905	1.39	0.2042
0.55	0.915	1.421	0.2282
0.55	0.925	1.448	0.2031
0.55	0.935	1.262	0.2174
0.55	0.945	1.364	0.1919
0.55	0.955	1.343	0.1905
0.55	0.965	1.48	0.2264
0.55	0.975	1.202	0.2221
0.55	0.985	1.238	0.2278
0.55	0.995	1.288	0.208
0.55	1.005	1.169	0.205
0.55	1.015	1.266	0.2216
0.55	1.025	1.355	0.1798
0.55	1.035	1.139	0.2025
0.55	1.045	1.157	0.2105
0.55	1.055	1.254	0.1517
0.55	1.065	1.044	0.2375
0.55	1.075	1.013	0.1873
0.55	1.085	1.027	0.1425
0.55	1.095	1.172	0.1448
0.55	1.105	1.155	0.1471
0.55	1.115	0.9025	0.2223
0.55	1.125	1.049	0.1321
0.55	1.135	0.9376	0.1922
0.55	1.145	0.9349	0.1229
0.55	1.155	0.9662	0.1227
0.55	1.165	1.071	0.1405
0.55	1.175	0.9949	0.15
0.55	1.185	1.05	0.1638
0.55	1.195	0.9118	0.1364
0.55	1.205	1.011	0.1384
0.55	1.215	1.016	0.1299
0.55	1.225	1.068	0.149
0.55	1.235	1.103	0.2095
0.55	1.245	1.078	0.1626
0.55	1.255	1.107	0.1563
0.55	1.265	1.199	0.2034
0.55	1.275	1.228	0.2051
0.55	1.285	1.155	0.2146
0.55	1.295	1.144	0.1696
0.55	1.305	0.9839	0.139
0.55	1.315	1.065	0.1959
0.55	1.325	1.038	0.1862
0.55	1.335	0.9081	0.1346
0.55	1.345	1.15	0.1613
0.55	1.355	0.8889	0.1412
0.55	1.365	1.049	0.1531
0.55	1.375	1.122	0.1681
0.55	1.385	0.947	0.1678
0.55	1.395	0.9785	0.1324
0.65	0.405	0.01343	0.04307
0.65	0.415	-0.03358	-0.0534
0.65	0.425	0.0943	0.08396
0.65	0.435	-0.03109	-0.05492
0.65	0.445	-0.0683	-0.05961
0.65	0.455	-0.1261	-0.08736
0.65	0.465	0.03197	0.1715
0.65	0.475	-0.0281	-0.06575
0.65	0.485	-0.142	-0.07634
0.65	0.495	-0.1191	-0.1099
0.65	0.505	-0.05717	-0.07697
0.65	0.515	-0.03703	-0.1254
0.65	0.525	-0.02126	-0.1091
0.65	0.535	0.0336	0.1699
0.65	0.545	-0.07305	-0.1302
0.65	0.555	-0.1211	-0.09036
0.65	0.565	0.03377	0.139
0.65	0.575	-0.01033	-0.08598
0.65	0.585	-0.00568	-0.08841
0.65	0.595	0.02573	0.1252
0.65	0.605	-0.04244	-0.0697
0.65	0.615	0.0994	0.1032
0.65	0.625	0.09328	0.09307
0.65	0.635	-0.007451	-0.07887
0.65	0.645	-0.04036	-0.09621
0.65	0.655	0.02131	0.1027
0.65	0.665	0.2172	0.08207
0.65	0.675	0.1593	0.08614
0.65	0.685	0.05826	0.1069
0.65	0.695	0.1402	0.1219
0.65	0.705	0.2421	0.1042
0.65	0.715	0.1306	0.1883
0.65	0.725	0.3758	0.1791
0.65	0.735	0.256	0.1849
0.65	0.745	0.4055	0.192
0.65	0.755	0.5611	0.2248
0.65	0.765	0.8804	0.1757
0.65	0.775	0.7005	0.1966
0.65	0.785	0.6771	0.2172
0.65	0.795	0.7994	0.1468
0.65	0.805	0.8179	0.1499
0.65	0.815	0.725	0.1418
0.65	0.825	0.8716	0.1444
0.65	0.835	0.8105	0.2047
0.65	0.845	0.8679	0.1916
0.65	0.855	0.9319	0.208
0.65	0.865	0.7227	0.18
0.65	0.875	0.787	0.133
0.65	0.885	0.7632	0.1334
0.65	0.895	0.7233	0.1692
0.65	0.905	0.5839	0.144
0.65	0.915	0.6486	0.1845
0.65	0.925	0.7039	0.1409
0.65	0.935	0.6269	0.1556
0.65	0.945	0.7124	0.1375
0.65	0.955	0.6651	0.1683
0.65	0.965	0.8042	0.1264
0.65	0.975	0.756	0.1556
0.65	0.985	0.6147	0.1824
0.65	0.995	0.6414	0.1764
0.65	1.005	0.6865	0.1956
0.65	1.015	0.6069	0.1188
0.65	1.025	0.5132	0.1839
0.65	1.035	0.7138	0.1255
0.65	1.045	0.7077	0.2364
0.65	1.055	0.5556	0.1343
0.65	1.065	0.5235	0.1518
0.65	1.075	0.5708	0.168
0.65	1.085	0.5251	0.1037
0.65	1.095	0.4838	0.1684
0.65	1.105	0.6169	0.2227
0.65	1.115	0.4912	0.1112
0.65	1.125	0.5622	0.09578
0.65	1.135	0.6386	0.09476
0.65	1.145	0.5687	0.09952
0.65	1.155	0.6644	0.1078
0.65	1.165	0.6451	0.0912
0.65	1.175	0.677	0.09974
0.65	1.185	0.6786	0.09841
0.65	1.195	0.7193	0.09959
0.65	1.205	0.7175	0.1128
0.65	1.215	0.6656	0.09673
0.65	1.225	0.721	0.1024
0.65	1.235	0.831	0.1184
0.65	1.245	0.8398	0.123
0.65	1.255	0.8414	0.1282
0.65	1.265	0.8141	0.117
0.65	1.275	0.8291	0.1117
0.65	1.285	0.7321	0.107
0.65	1.295	0.7328	0.1238
0.65	1.305	0.7267	0.1056
0.65	1.315	0.764	0.1181
0.65	1.325	0.9821	0.1629
0.65	1.335	0.8023	0.1164
0.65	1.345	0.8035	0.1136
0.65	1.355	0.8823	0.133
0.65	1.365	0.6716	0.1082
0.65	1.375	0.6794	0.1043
0.65	1.385	0.6819	0.1086
0.65	1.395	0.6752	0.1405
0.75	0.405	0.06844	0.03219
0.75	0.415	0.02955	0.03898
0.75	0.425	0.03249	0.04304
0.75	0.435	-0.009704	-0.0362
0.75	0.445	-0.05373	-0.04253
0.75	0.455	-0.02552	-0.04047
0.75	0.465	-0.02276	-0.05194
0.75	0.475	-0.171	-0.1191
0.75	0.485	-0.04482	-0.07812
0.75	0.495	-0.1108	-0.05626
0.75	0.505	-0.07336	-0.08074
0.75	0.515	-0.08962	-0.05326
0.75	0.525	-0.03605	-0.137
0.75	0.535	-0.03072	-0.07069
0.75	0.545	0.04523	0.1063
0.75	0.555	-0.07635	-0.08817
0.75	0.565	-0.04105	-0.07293
0.75	0.575	-0.0147	-0.07396
0.75	0.585	-0.02558	-0.101
0.75	0.595	-0.03609	-0.0704
0.75	0.605	-0.0244	-0.05744
0.75	0.615	-0.07287	-0.05941
0.75	0.625	-0.05903	-0.07518
0.75	0.635	0.01403	0.07261
0.75	0.645	0.02142	0.08364
0.75	0.655	0.0587	0.09256
0.75	0.665	-0.1038	-0.07456
0.75	0.675	-0.06347	-0.0902
0.75	0.685	0.08014	0.08628
0.75	0.695	0.0497	0.103
0.75	0.705	-0.007152	-0.1011
0.75	0.715	0.09249	0.09407
0.75	0.725	0.03605	0.1202
0.75	0.735	0.03887	0.1708
0.75	0.745	0.1416	0.08491
0.75	0.755	0.213	0.1387
0.75	0.765	0.3776	0.1107
0.75	0.775	0.3963	0.1038
0.75	0.785	0.06485	0.134
0.75	0.795	0.3222	0.1118
0.75	0.805	0.3077	0.1098
0.75	0.815	0.4084	0.1201
0.75	0.825	0.4396	0.134
0.75	0.835	0.3671	0.139
0.75	0.845	0.3579	0.1159
0.75	0.855	0.3139	0.1242
