CLAS physics database search results
Measurement E28M6
g11
M. Battaglieri
2009

-t variable	M(pi+,pi-)	Y_10	Data errors
GeV2	GeV	mcb/GeV3	mcb/GeV3
0.45	0.405	-0.06441	-0.1313
0.45	0.415	0.1715	0.2091
0.45	0.425	-0.1907	-0.1316
0.45	0.435	-0.06783	-0.11
0.45	0.445	-0.2296	-0.1895
0.45	0.455	-0.3241	-0.1083
0.45	0.465	-0.3921	-0.1212
0.45	0.475	-0.3487	-0.2157
0.45	0.485	-0.641	-0.1283
0.45	0.495	-0.5721	-0.1512
0.45	0.505	-0.5512	-0.167
0.45	0.515	-0.5823	-0.1502
0.45	0.525	-0.7797	-0.1452
0.45	0.535	-0.6646	-0.1457
0.45	0.545	-0.8287	-0.1319
0.45	0.555	-0.8249	-0.1341
0.45	0.565	-1.063	-0.1569
0.45	0.575	-1.091	-0.1742
0.45	0.585	-1.103	-0.1971
0.45	0.595	-1.087	-0.2316
0.45	0.605	-1.165	-0.1875
0.45	0.615	-1.276	-0.2673
0.45	0.625	-1.363	-0.2579
0.45	0.635	-1.554	-0.2691
0.45	0.645	-2.065	-0.4887
0.45	0.655	-1.966	-0.4109
0.45	0.665	-2.217	-0.516
0.45	0.675	-2.377	-0.5356
0.45	0.685	-2.829	-0.599
0.45	0.695	-2.996	-0.7448
0.45	0.705	-3.667	-0.8395
0.45	0.715	-3.738	-0.7741
0.45	0.725	-4.474	-1.002
0.45	0.735	-4.392	-1.091
0.45	0.745	-4.491	-0.9811
0.45	0.755	-4.648	-1.1
0.45	0.765	-4.394	-1.086
0.45	0.775	-4.499	-0.8977
0.45	0.785	-2.749	-0.7744
0.45	0.795	-1.936	-0.6817
0.45	0.805	-1.773	-0.6565
0.45	0.815	-1.628	-0.7278
0.45	0.825	-1.218	-0.6631
0.45	0.835	-1.031	-0.6233
0.45	0.845	-1.011	-0.5888
0.45	0.855	-0.847	-0.5488
0.45	0.865	-0.8181	-0.624
0.45	0.875	-0.5434	-0.51
0.45	0.885	-0.5612	-0.5692
0.45	0.895	-0.5954	-0.5218
0.45	0.905	-0.5726	-0.427
0.45	0.915	-0.86	-0.5107
0.45	0.925	-0.6741	-0.4852
0.45	0.935	-0.8355	-0.6152
0.45	0.945	-0.7969	-0.4136
0.45	0.955	-1.125	-0.5715
0.45	0.965	-1.135	-0.4324
0.45	0.975	-1.123	-0.4063
0.45	0.985	-0.997	-0.6003
0.45	0.995	-0.861	-0.5842
0.45	1.005	-0.9496	-0.5408
0.45	1.015	-0.9874	-0.5246
0.45	1.025	-1.077	-0.5642
0.45	1.035	-0.7703	-0.4384
0.45	1.045	-0.8618	-0.5626
0.45	1.055	-0.7721	-0.5772
0.45	1.065	-0.9825	-0.5727
0.45	1.075	-0.8177	-0.5464
0.45	1.085	-0.7239	-0.5847
0.45	1.095	-0.6771	-0.5206
0.45	1.105	-0.6529	-0.6493
0.45	1.115	-0.4311	-0.4585
0.45	1.125	-0.4315	-0.2981
0.45	1.135	-0.5735	-0.5455
0.45	1.145	-0.5028	-0.5181
0.45	1.155	-0.5447	-0.4038
0.45	1.165	-0.1628	-0.3416
0.45	1.175	-0.5889	-0.5025
0.45	1.185	-0.2397	-0.3331
0.45	1.195	-0.8959	-0.705
0.45	1.205	-0.8428	-0.4127
0.45	1.215	-1.015	-0.5553
0.45	1.225	-0.2565	-0.3755
0.45	1.235	-0.8556	-0.4742
0.45	1.245	-0.3786	-0.3514
0.45	1.255	-0.4511	-0.5477
0.45	1.265	0.07023	0.3086
0.45	1.275	0.07992	0.4105
0.45	1.285	-0.02875	-0.3482
0.45	1.295	-0.06478	-0.4316
0.45	1.305	-0.08725	-0.2889
0.45	1.315	0.2366	0.2865
0.45	1.325	-0.3401	-0.5461
0.45	1.335	-0.4257	-0.3608
0.45	1.345	-0.5496	-0.476
0.45	1.355	-0.4591	-0.5029
0.45	1.365	-0.7416	-0.5276
0.45	1.375	-0.5974	-0.4899
0.45	1.385	-0.6407	-0.4458
0.45	1.395	-0.8066	-0.4994
0.55	0.405	0.02389	0.05857
0.55	0.415	-0.03294	-0.06013
0.55	0.425	0.02014	0.07228
0.55	0.435	-0.2646	-0.09743
0.55	0.445	-0.2449	-0.1046
0.55	0.455	-0.2606	-0.09649
0.55	0.465	-0.3915	-0.127
0.55	0.475	-0.5421	-0.1425
0.55	0.485	-0.4296	-0.1248
0.55	0.495	-0.4906	-0.1002
0.55	0.505	-0.4084	-0.09649
0.55	0.515	-0.5446	-0.09615
0.55	0.525	-0.4976	-0.1219
0.55	0.535	-0.4726	-0.1323
0.55	0.545	-0.6432	-0.1169
0.55	0.555	-0.4825	-0.1139
0.55	0.565	-0.7089	-0.1146
0.55	0.575	-0.715	-0.1168
0.55	0.585	-0.8182	-0.1257
0.55	0.595	-0.8937	-0.1451
0.55	0.605	-0.8565	-0.1589
0.55	0.615	-0.9121	-0.1415
0.55	0.625	-0.9237	-0.1761
0.55	0.635	-1.045	-0.1654
0.55	0.645	-1.056	-0.197
0.55	0.655	-1.27	-0.2263
0.55	0.665	-1.453	-0.2436
