CLAS physics database search results
Measurement E28M18
g11
M. Battaglieri
2009

-t variable	M(pi+,pi-)	Y_21	Data errors
0.55	1.145	1.112	0.1445
0.55	1.155	1.171	0.1619
0.55	1.165	1.102	0.1407
0.55	1.175	1.196	0.1587
0.55	1.185	1.168	0.1547
0.55	1.195	1.076	0.1677
0.55	1.205	1.218	0.1625
0.55	1.215	1.368	0.1891
0.55	1.225	1.249	0.1688
0.55	1.235	1.331	0.1888
0.55	1.245	1.137	0.1598
0.55	1.255	1.299	0.1793
0.55	1.265	1.093	0.1607
0.55	1.275	1.334	0.1838
0.55	1.285	1.32	0.1639
0.55	1.295	1.248	0.1954
0.55	1.305	1.335	0.1835
0.55	1.315	1.119	0.1607
0.55	1.325	1.165	0.1812
0.55	1.335	1.205	0.1714
0.55	1.345	1.276	0.1676
0.55	1.355	1.322	0.2063
0.55	1.365	1.36	0.2505
0.55	1.375	1.187	0.172
0.55	1.385	1.238	0.1899
0.55	1.395	1.153	0.1624
0.65	0.405	0.0637	0.04709
0.65	0.415	0.01049	0.04621
0.65	0.425	0.05034	0.04453
0.65	0.435	0.004577	0.0529
0.65	0.445	-0.11	-0.07006
0.65	0.455	-0.07698	-0.07491
0.65	0.465	-0.1836	-0.09542
0.65	0.475	-0.08021	-0.09559
0.65	0.485	-0.1041	-0.07799
0.65	0.495	-0.05611	-0.1045
0.65	0.505	-0.1273	-0.08371
0.65	0.515	-0.01337	-0.07594
0.65	0.525	-0.005471	-0.1162
0.65	0.535	-0.07506	-0.1164
0.65	0.545	-0.004024	-0.1242
0.65	0.555	0.004224	0.1219
0.65	0.565	0.1006	0.1063
0.65	0.575	0.01139	0.156
0.65	0.585	-0.01918	-0.1253
0.65	0.595	0.05483	0.1104
0.65	0.605	0.02333	0.07671
0.65	0.615	0.1531	0.1384
0.65	0.625	-0.02124	-0.09026
0.65	0.635	0.04393	0.08154
0.65	0.645	0.07788	0.08048
0.65	0.655	0.0269	0.1096
0.65	0.665	0.09862	0.1014
0.65	0.675	0.04722	0.1159
0.65	0.685	0.329	0.1041
0.65	0.695	0.2713	0.1213
0.65	0.705	0.124	0.2278
0.65	0.715	0.3408	0.1558
0.65	0.725	0.4691	0.1425
0.65	0.735	0.5979	0.1703
0.65	0.745	0.6383	0.2378
0.65	0.755	0.9539	0.2094
0.65	0.765	1.023	0.1529
0.65	0.775	0.8929	0.2227
0.65	0.785	0.6237	0.2541
0.65	0.795	0.6973	0.2013
0.65	0.805	0.92	0.2198
0.65	0.815	0.8927	0.164
0.65	0.825	0.9415	0.1926
0.65	0.835	0.8214	0.1871
0.65	0.845	0.891	0.1429
0.65	0.855	0.7382	0.1939
0.65	0.865	0.8445	0.1635
0.65	0.875	0.7906	0.1472
0.65	0.885	0.8003	0.1668
0.65	0.895	0.776	0.1472
0.65	0.905	0.6814	0.2065
0.65	0.915	0.8327	0.1211
0.65	0.925	0.8154	0.1699
0.65	0.935	0.777	0.1625
0.65	0.945	0.7784	0.1865
0.65	0.955	0.7136	0.1781
0.65	0.965	0.7736	0.1429
0.65	0.975	0.6985	0.1907
0.65	0.985	0.6346	0.1412
0.65	0.995	0.6481	0.1673
0.65	1.005	0.743	0.1585
0.65	1.015	0.5973	0.1793
0.65	1.025	0.5344	0.1793
0.65	1.035	0.6417	0.1425
0.65	1.045	0.6268	0.1152
0.65	1.055	0.6484	0.1427
0.65	1.065	0.669	0.09192
0.65	1.075	0.6273	0.1112
0.65	1.085	0.5658	0.1197
0.65	1.095	0.7216	0.1722
0.65	1.105	0.5878	0.1417
0.65	1.115	0.68	0.1014
0.65	1.125	0.7336	0.09887
0.65	1.135	0.7208	0.1123
0.65	1.145	0.743	0.106
0.65	1.155	0.7724	0.1011
0.65	1.165	0.6967	0.1278
0.65	1.175	0.796	0.1264
0.65	1.185	0.8115	0.1191
0.65	1.195	0.8047	0.1131
0.65	1.205	0.7621	0.1252
0.65	1.215	0.7248	0.1166
0.65	1.225	0.8662	0.1168
0.65	1.235	0.8164	0.115
0.65	1.245	0.9183	0.1322
0.65	1.255	0.8772	0.1234
0.65	1.265	1.018	0.1309
0.65	1.275	0.9206	0.1188
0.65	1.285	0.7903	0.1108
0.65	1.295	0.9081	0.125
0.65	1.305	0.9026	0.1217
0.65	1.315	0.959	0.1299
0.65	1.325	0.7482	0.1029
0.65	1.335	0.7397	0.1401
0.65	1.345	0.6997	0.1072
0.65	1.355	0.8231	0.124
0.65	1.365	0.9055	0.1381
0.65	1.375	0.7321	0.1098
0.65	1.385	0.74	0.1304
0.65	1.395	0.7714	0.1215
0.75	0.405	0.03994	0.03398
0.75	0.415	0.02653	0.02871
0.75	0.425	0.03355	0.03006
0.75	0.435	-0.01015	-0.03704
0.75	0.445	0.01698	0.03844
0.75	0.455	-0.07365	-0.04234
0.75	0.465	-0.02376	-0.04601
0.75	0.475	-0.07177	-0.07424
0.75	0.485	0.05985	0.1525
0.75	0.495	0.01082	0.06863
0.75	0.505	0.007445	0.1395
0.75	0.515	-0.05416	-0.09775
0.75	0.525	-0.03533	-0.05915
0.75	0.535	-0.01523	-0.08864
0.75	0.545	-0.05951	-0.07638
0.75	0.555	0.02238	0.1051
0.75	0.565	0.05348	0.1554
0.75	0.575	0.06806	0.168
0.75	0.585	0.0201	0.08749
0.75	0.595	-0.01843	-0.09177
0.75	0.605	0.01847	0.1125
0.75	0.615	0.07553	0.08051
0.75	0.625	0.02203	0.1358
0.75	0.635	0.1014	0.1355
0.75	0.645	0.03557	0.07356
0.75	0.655	0.001155	0.09731
0.75	0.665	-0.05766	-0.09953
0.75	0.675	0.04525	0.08599
0.75	0.685	-0.01557	-0.1209
0.75	0.695	-0.0116	-0.1
0.75	0.705	0.1035	0.09452
0.75	0.715	-0.01069	-0.1034
0.75	0.725	0.1638	0.1087
0.75	0.735	-0.003775	-0.1988
0.75	0.745	0.267	0.105
0.75	0.755	0.2777	0.1685
0.75	0.765	0.3825	0.1039
0.75	0.775	0.2362	0.1564
0.75	0.785	0.4201	0.1037
0.75	0.795	0.4971	0.1079
0.75	0.805	0.5893	0.1384
0.75	0.815	0.4429	0.1111
0.75	0.825	0.4712	0.1402
0.75	0.835	0.4927	0.1153
0.75	0.845	0.4987	0.1148
0.75	0.855	0.6242	0.1005
0.75	0.865	0.3238	0.135
0.75	0.875	0.3807	0.124
0.75	0.885	0.4068	0.1023
0.75	0.895	0.4042	0.1152
0.75	0.905	0.2947	0.09202
0.75	0.915	0.2947	0.08174
0.75	0.925	0.3343	0.1053
0.75	0.935	0.3487	0.105
0.75	0.945	0.2848	0.09392
0.75	0.955	0.361	0.07742
0.75	0.965	0.4222	0.08377
0.75	0.975	0.4347	0.08982
0.75	0.985	0.3167	0.1042
0.75	0.995	0.2691	0.08912
0.75	1.005	0.3199	0.06974
0.75	1.015	0.252	0.09531
0.75	1.025	0.3632	0.07234
0.75	1.035	0.3902	0.1316
0.75	1.045	0.3165	0.08694
0.75	1.055	0.3718	0.1217
0.75	1.065	0.3442	0.07754
0.75	1.075	0.4538	0.09278
0.75	1.085	0.3813	0.07295
0.75	1.095	0.3652	0.08245
0.75	1.105	0.5256	0.1169
0.75	1.115	0.4856	0.08916
0.75	1.125	0.4265	0.08537
0.75	1.135	0.4629	0.08026
0.75	1.145	0.5024	0.07438
0.75	1.155	0.5233	0.08741
0.75	1.165	0.4959	0.08129
0.75	1.175	0.5874	0.1012
0.75	1.185	0.4529	0.07219
0.75	1.195	0.5932	0.08484
0.75	1.205	0.6193	0.0928
0.75	1.215	0.6783	0.09905
0.75	1.225	0.6105	0.09214
0.75	1.235	0.6106	0.0973
0.75	1.245	0.6279	0.08784
0.75	1.255	0.724	0.1037
0.75	1.265	0.5758	0.097
0.75	1.275	0.6186	0.1149
0.75	1.285	0.6202	0.08724
0.75	1.295	0.5783	0.09433
0.75	1.305	0.6474	0.09327
0.75	1.315	0.6042	0.09494
0.75	1.325	0.5512	0.08956
0.75	1.335	0.5789	0.08563
0.75	1.345	0.6582	0.09181
0.75	1.355	0.5904	0.1112
0.75	1.365	0.5563	0.08512
0.75	1.375	0.5905	0.09095
0.75	1.385	0.5636	0.08059
0.75	1.395	0.5517	0.09248
0.85	0.405	0.07102	0.03072
0.85	0.415	0.03555	0.02104
0.85	0.425	0.01816	0.02649
0.85	0.435	0.03782	0.04023
0.85	0.445	0.008399	0.03827
0.85	0.455	-0.03107	-0.04648
0.85	0.465	-0.07567	-0.03973
0.85	0.475	-0.03419	-0.04035
0.85	0.485	-0.01523	-0.0426
0.85	0.495	-0.1183	-0.05432
0.85	0.505	-0.04358	-0.0657
0.85	0.515	-0.03876	-0.04886
0.85	0.525	-0.1299	-0.05291
0.85	0.535	-0.06044	-0.08279
0.85	0.545	0.02195	0.09698
0.85	0.555	-0.05245	-0.07528
0.85	0.565	-0.02139	-0.1282
0.85	0.575	-0.07557	-0.106
0.85	0.585	-0.0276	-0.08672
0.85	0.595	-0.1066	-0.08373
0.85	0.605	0.0173	0.09652
0.85	0.615	-0.0797	-0.06922
0.85	0.625	-0.04685	-0.07939
0.85	0.635	0.07891	0.1503
0.85	0.645	-0.07653	-0.06847
0.85	0.655	-0.06463	-0.08286
0.85	0.665	0.04363	0.1345
0.85	0.675	0.02718	0.09193
0.85	0.685	-0.09022	-0.127
0.85	0.695	-0.1398	-0.09487
0.85	0.705	-0.03637	-0.1064
0.85	0.715	-0.2438	-0.1168
0.85	0.725	-0.153	-0.107
0.85	0.735	-0.1998	-0.09786
0.85	0.745	-0.1501	-0.105
0.85	0.755	-0.1498	-0.1092
0.85	0.765	-0.1203	-0.1038
0.85	0.775	-0.1288	-0.1161
0.85	0.785	-0.0608	-0.08552
0.85	0.795	-0.1194	-0.07801
0.85	0.805	0.06244	0.08508
0.85	0.815	0.08114	0.06493
0.85	0.825	0.1326	0.07239
0.85	0.835	0.1621	0.07583
0.85	0.845	0.169	0.06591
0.85	0.855	0.108	0.0912
0.85	0.865	0.1466	0.04926
0.85	0.875	0.2044	0.06667
0.85	0.885	0.1379	0.04894
0.85	0.895	0.2091	0.05461
0.85	0.905	0.1839	0.05096
0.85	0.915	0.1463	0.04951
0.85	0.925	0.1603	0.05325
0.85	0.935	0.1177	0.05203
0.85	0.945	0.1546	0.0623
0.85	0.955	0.1464	0.05283
0.85	0.965	0.1428	0.04716
0.85	0.975	0.177	0.06393
0.85	0.985	0.2162	0.0453
0.85	0.995	0.2109	0.05267
0.85	1.005	0.1602	0.05876
0.85	1.015	0.3162	0.06125
0.85	1.025	0.1817	0.04791
0.85	1.035	0.2211	0.07257
0.85	1.045	0.3286	0.07878
0.85	1.055	0.2474	0.06311
0.85	1.065	0.2157	0.05576
0.85	1.075	0.2289	0.0584
0.85	1.085	0.2252	0.07083
0.85	1.095	0.2648	0.05637
0.85	1.105	0.2374	0.06762
0.85	1.115	0.2855	0.05585
0.85	1.125	0.2759	0.06342
0.85	1.135	0.2623	0.05122
0.85	1.145	0.303	0.06077
0.85	1.155	0.261	0.06237
0.85	1.165	0.4221	0.06456
0.85	1.175	0.3531	0.06338
0.85	1.185	0.4428	0.07461
0.85	1.195	0.4438	0.06792
0.85	1.205	0.3695	0.06303
0.85	1.215	0.3897	0.06442
0.85	1.225	0.5099	0.07693
0.85	1.235	0.5484	0.09326
0.85	1.245	0.4594	0.06963
0.85	1.255	0.5279	0.08021
0.85	1.265	0.4811	0.07917
0.85	1.275	0.4701	0.07665
0.85	1.285	0.3969	0.06944
0.85	1.295	0.422	0.07041
0.85	1.305	0.4125	0.0714
0.85	1.315	0.4584	0.09618
0.85	1.325	0.4128	0.06885
0.85	1.335	0.4205	0.06816
0.85	1.345	0.2965	0.06311
0.85	1.355	0.4558	0.07157
0.85	1.365	0.3946	0.09808
0.85	1.375	0.3714	0.06906
0.85	1.385	0.3708	0.06235
0.85	1.395	0.3476	0.06061
0.95	0.405	0.04176	0.02711
0.95	0.415	-0.004512	-0.02635
0.95	0.425	0.003077	0.02139
0.95	0.435	-0.002546	-0.02152
0.95	0.445	0.03214	0.03688
0.95	0.455	0.01238	0.03048
0.95	0.465	0.001469	0.03172
0.95	0.475	-0.02249	-0.03826
0.95	0.485	0.006038	0.04788
0.95	0.495	-0.1067	-0.05358
0.95	0.505	-0.07055	-0.04734
0.95	0.515	-0.00928	-0.04505
0.95	0.525	-0.02822	-0.05789
0.95	0.535	-0.0494	-0.05281
0.95	0.545	0.02912	0.06624
0.95	0.555	-0.05132	-0.05613
0.95	0.565	0.001964	0.07054
0.95	0.575	0.01762	0.07935
0.95	0.585	0.01024	0.06917
0.95	0.595	0.005083	0.1007
0.95	0.605	-0.06184	-0.1326
0.95	0.615	-0.1491	-0.06283
0.95	0.625	-0.04543	-0.0714
0.95	0.635	-0.03675	-0.1029
0.95	0.645	-0.005894	-0.1485
0.95	0.655	-0.13	-0.06728
0.95	0.665	-0.07698	-0.08304
0.95	0.675	-0.1244	-0.1103
0.95	0.685	-0.1385	-0.101
0.95	0.695	-0.2742	-0.1012
0.95	0.705	-0.2807	-0.08302
0.95	0.715	-0.249	-0.1078
0.95	0.725	-0.2146	-0.1442
0.95	0.735	-0.2785	-0.1004
0.95	0.745	-0.2408	-0.08759
0.95	0.755	-0.4121	-0.1122
0.95	0.765	-0.1842	-0.1106
0.95	0.775	-0.2737	-0.1116
0.95	0.785	-0.2374	-0.1085
0.95	0.795	-0.1657	-0.07721
0.95	0.805	-0.1945	-0.07382
0.95	0.815	-0.07417	-0.07258
0.95	0.825	0.003982	0.06332
0.95	0.835	-0.008657	-0.09138
0.95	0.845	-0.009535	-0.0524
0.95	0.855	0.0764	0.05386
0.95	0.865	0.02415	0.04742
0.95	0.875	0.008537	0.05086
0.95	0.885	0.04135	0.05146
0.95	0.895	0.0858	0.04819
0.95	0.905	0.1202	0.03761
0.95	0.915	0.08251	0.03644
0.95	0.925	0.1076	0.03965
0.95	0.935	0.1019	0.03826
0.95	0.945	0.1042	0.04515
0.95	0.955	0.1194	0.0389
0.95	0.965	0.1376	0.04639
0.95	0.975	0.09847	0.04139
0.95	0.985	0.1223	0.04141
0.95	0.995	0.15	0.0674
0.95	1.005	0.1239	0.04308
0.95	1.015	0.1921	0.07968
0.95	1.025	0.163	0.04006
0.95	1.035	0.1546	0.04164
0.95	1.045	0.2195	0.09418
0.95	1.055	0.2215	0.06985
0.95	1.065	0.2596	0.08008
0.95	1.075	0.1191	0.05126
0.95	1.085	0.1814	0.05236
0.95	1.095	0.2169	0.04523
0.95	1.105	0.1791	0.04592
0.95	1.115	0.1255	0.03991
0.95	1.125	0.1815	0.0477
0.95	1.135	0.1538	0.04825
0.95	1.145	0.1975	0.05094
0.95	1.155	0.3245	0.1206
0.95	1.165	0.2653	0.05394
0.95	1.175	0.342	0.06606
0.95	1.185	0.3246	0.0926
0.95	1.195	0.2343	0.05243
0.95	1.205	0.2503	0.06621
0.95	1.215	0.3607	0.06189
0.95	1.225	0.2686	0.06058
0.95	1.235	0.3071	0.07088
0.95	1.245	0.3387	0.06051
0.95	1.255	0.3483	0.07991
0.95	1.265	0.4635	0.0793
0.95	1.275	0.3754	0.1042
0.95	1.285	0.281	0.06583
0.95	1.295	0.3428	0.0811
0.95	1.305	0.2465	0.06531
0.95	1.315	0.2166	0.0621
0.95	1.325	0.228	0.06488
0.95	1.335	0.2457	0.05962
0.95	1.345	0.2423	0.0545
0.95	1.355	0.2662	0.05957
0.95	1.365	0.1962	0.05198
0.95	1.375	0.3273	0.065
0.95	1.385	0.221	0.06036
0.95	1.395	0.3035	0.05902
