CLAS physics database search results
Measurement E28M18
g11
M. Battaglieri
2009

-t variable	M(pi+,pi-)	Y_21	Data errors
GeV2	GeV	mcb/GeV3	mcb/GeV3
0.45	0.405	-0.1014	-0.1181
0.45	0.415	0.09605	0.2027
0.45	0.425	-0.07164	-0.1005
0.45	0.435	0.007043	0.1022
0.45	0.445	-0.01829	-0.1997
0.45	0.455	-0.08097	-0.1134
0.45	0.465	-0.1722	-0.08766
0.45	0.475	-0.05733	-0.2369
0.45	0.485	-0.2202	-0.1159
0.45	0.495	-0.07163	-0.1799
0.45	0.505	-0.1118	-0.2094
0.45	0.515	-0.02553	-0.182
0.45	0.525	-0.1289	-0.1635
0.45	0.535	-0.158	-0.1635
0.45	0.545	-0.2194	-0.1339
0.45	0.555	-0.1654	-0.1227
0.45	0.565	-0.2242	-0.1424
0.45	0.575	-0.3356	-0.1654
0.45	0.585	-0.3028	-0.2256
0.45	0.595	-0.3001	-0.23
0.45	0.605	-0.3889	-0.1323
0.45	0.615	-0.3076	-0.2251
0.45	0.625	-0.4021	-0.2275
0.45	0.635	-0.4249	-0.214
0.45	0.645	-0.8238	-0.5418
0.45	0.655	-0.6158	-0.3977
0.45	0.665	-0.5833	-0.5349
0.45	0.675	-0.6551	-0.5557
0.45	0.685	-0.4247	-0.6073
0.45	0.695	-0.3497	-0.7727
0.45	0.705	-0.2605	-0.8747
0.45	0.715	-0.01515	-0.7919
0.45	0.725	0.6295	0.9157
0.45	0.735	1.07	1.059
0.45	0.745	1.777	0.8507
0.45	0.755	2.579	0.9205
0.45	0.765	2.764	0.8595
0.45	0.775	3.342	0.6294
0.45	0.785	3.501	0.5486
0.45	0.795	3.416	0.5309
0.45	0.805	3.868	0.578
0.45	0.815	3.569	0.5441
0.45	0.825	3.577	0.5119
0.45	0.835	3.482	0.4614
0.45	0.845	3.329	0.4302
0.45	0.855	3.194	0.4396
0.45	0.865	2.935	0.4956
0.45	0.875	2.956	0.4053
0.45	0.885	2.775	0.4889
0.45	0.895	2.65	0.4269
0.45	0.905	2.621	0.3508
0.45	0.915	2.598	0.4337
0.45	0.925	2.223	0.421
0.45	0.935	2.427	0.5171
0.45	0.945	2.319	0.3883
0.45	0.955	2.276	0.4493
0.45	0.965	2.36	0.346
0.45	0.975	2.377	0.3461
0.45	0.985	2.291	0.4571
0.45	0.995	2.212	0.4646
0.45	1.005	2.205	0.3838
0.45	1.015	2.009	0.3812
0.45	1.025	1.966	0.3691
0.45	1.035	2.273	0.3209
0.45	1.045	2.088	0.3454
0.45	1.055	2.245	0.34
0.45	1.065	1.937	0.3504
0.45	1.075	2.1	0.3058
0.45	1.085	1.97	0.2961
0.45	1.095	2.05	0.2577
0.45	1.105	1.807	0.3102
0.45	1.115	2.036	0.2399
0.45	1.125	1.98	0.2546
0.45	1.135	1.821	0.2472
0.45	1.145	1.833	0.221
0.45	1.155	1.848	0.2683
0.45	1.165	2.13	0.3484
0.45	1.175	1.922	0.2432
0.45	1.185	2.104	0.3991
0.45	1.195	1.647	0.2488
0.45	1.205	1.711	0.2258
0.45	1.215	1.65	0.2207
0.45	1.225	2.118	0.3492
0.45	1.235	1.821	0.2522
0.45	1.245	2.133	0.3941
0.45	1.255	1.859	0.2591
0.45	1.265	2.015	0.3077
0.45	1.275	1.986	0.2576
0.45	1.285	1.9	0.311
0.45	1.295	1.975	0.2729
0.45	1.305	1.826	0.2581
0.45	1.315	2.041	0.3313
0.45	1.325	1.54	0.2468
0.45	1.335	1.7	0.2252
0.45	1.345	1.712	0.2115
0.45	1.355	1.608	0.2062
0.45	1.365	1.551	0.2018
0.45	1.375	1.649	0.1986
0.45	1.385	1.529	0.1926
0.45	1.395	1.443	0.2141
0.55	0.405	0.002265	0.05387
0.55	0.415	-0.03084	-0.05803
0.55	0.425	0.04059	0.06726
0.55	0.435	-0.06649	-0.07086
0.55	0.445	-0.02673	-0.072
0.55	0.455	-0.01516	-0.1134
0.55	0.465	0.01264	0.1103
0.55	0.475	-0.2024	-0.08526
0.55	0.485	-0.05214	-0.1752
0.55	0.495	-0.11	-0.09205
0.55	0.505	-0.02481	-0.1156
0.55	0.515	-0.05866	-0.102
0.55	0.525	0.03339	0.1516
0.55	0.535	0.06901	0.1813
0.55	0.545	-0.1247	-0.07216
0.55	0.555	0.0843	0.1668
0.55	0.565	-0.02969	-0.1463
0.55	0.575	0.04007	0.1482
0.55	0.585	-0.03707	-0.1354
0.55	0.595	-0.0651	-0.09297
0.55	0.605	0.05848	0.2129
0.55	0.615	0.004796	0.1432
0.55	0.625	0.08414	0.1652
0.55	0.635	-0.06425	-0.1589
0.55	0.645	0.05434	0.2138
0.55	0.655	0.1598	0.2217
0.55	0.665	0.04701	0.2139
0.55	0.675	0.1437	0.2634
0.55	0.685	0.3212	0.1715
0.55	0.695	0.2419	0.2953
0.55	0.705	0.09235	0.3404
0.55	0.715	0.735	0.3008
0.55	0.725	0.735	0.2785
0.55	0.735	0.9048	0.292
0.55	0.745	1.242	0.2733
0.55	0.755	1.391	0.3897
0.55	0.765	1.665	0.3965
0.55	0.775	1.664	0.3765
0.55	0.785	1.672	0.3631
0.55	0.795	1.632	0.2185
0.55	0.805	1.982	0.2855
0.55	0.815	1.825	0.2442
0.55	0.825	1.782	0.27
0.55	0.835	1.72	0.2252
0.55	0.845	1.705	0.2214
0.55	0.855	1.694	0.2436
0.55	0.865	1.625	0.2138
0.55	0.875	1.804	0.2252
0.55	0.885	1.603	0.2207
0.55	0.895	1.502	0.2043
0.55	0.905	1.7	0.2172
0.55	0.915	1.365	0.1861
0.55	0.925	1.471	0.1835
0.55	0.935	1.307	0.2249
0.55	0.945	1.5	0.1895
0.55	0.955	1.475	0.1939
0.55	0.965	1.536	0.2331
0.55	0.975	1.511	0.1848
0.55	0.985	1.306	0.1739
0.55	0.995	1.198	0.3024
0.55	1.005	1.455	0.1879
0.55	1.015	1.228	0.1649
0.55	1.025	1.209	0.2188
0.55	1.035	1.188	0.1741
0.55	1.045	1.232	0.1691
0.55	1.055	1.176	0.1681
0.55	1.065	1.251	0.1704
0.55	1.075	1.064	0.216
0.55	1.085	1.122	0.1407
0.55	1.095	1.037	0.137
0.55	1.105	1.114	0.1496
0.55	1.115	1.193	0.161
0.55	1.125	1.072	0.1799
0.55	1.135	1.077	0.1501
