#CLAS physics database search results
#Measurement E28M3
#g11
#M. Battaglieri
#2009
#
#-t variable	M(pi+,pi-)	Y_00	Data errors
#GeV2	GeV	mcb/GeV3	mcb/GeV3
0.45	0.405  1.108  0.468
0.45	0.415  1.032  0.2384
0.45	0.425  0.9854  0.3512
0.45	0.435  1.212  0.4017
0.45	0.445  1.297  0.6618
0.45	0.455  1.268  0.513
0.45	0.465  1.443  0.5621
0.45	0.475  1.624  0.3969
0.45	0.485  1.575  0.6785
0.45	0.495  1.456  0.7682
0.45	0.505  1.467  0.8295
0.45	0.515  2.018  0.4705
0.45	0.525  2.586  0.4724
0.45	0.535  2.479  0.4832
0.45	0.545  2.505  0.4115
0.45	0.555  2.768  0.3685
0.45	0.565  3.108  0.4149
0.45	0.575  2.81  1.223
0.45	0.585  3.487  0.6888
0.45	0.595  4.106  0.5363
0.45	0.605  4.278  0.7772
0.45	0.615  4.975  1.141
0.45	0.625  4.955  1.507
0.45	0.635  5.407  1.679
0.45	0.645  7.386  1.347
0.45	0.655  7.68  2.185
0.45	0.665  9.085  1.978
0.45	0.675  10.93  2.707
0.45	0.685  12.15  2.99
0.45	0.695  13.39  3.831
0.45	0.705  16.22  2.352
0.45	0.715  17.91  4.102
0.45	0.725  21.36  3.19
0.45	0.735  22.69  4.423
0.45	0.745  24.54  3.119
0.45	0.755  26.28  3.955
0.45	0.765  28.86  3.128
0.45	0.775  28.14  3.175
0.45	0.785  27.66  3.131
0.45	0.795  23.28  2.576
0.45	0.805  22.9  2.611
0.45	0.815  20.87  2.225
0.45	0.825  19.27  2.038
0.45	0.835  17.47  2.085
0.45	0.845  15.87  1.728
0.45	0.855  15.22  1.623
0.45	0.865  13.69  1.504
0.45	0.875  12.63  1.319
0.45	0.885  12.57  1.629
0.45	0.895  10.66  1.114
0.45	0.905  10.24  1.08
0.45	0.915  9.742  1.132
0.45	0.925  9.046  1.016
0.45	0.935  8.065  0.8796
0.45	0.945  7.76  0.8201
0.45	0.955  7.938  0.8671
0.45	0.965  7.158  0.7783
0.45	0.975  6.808  0.8181
0.45	0.985  6.453  0.8131
0.45	0.995  5.788  0.7561
0.45	1.005  5.65  0.7718
0.45	1.015  5.193  0.6858
0.45	1.025  4.881  0.5602
0.45	1.035  5.021  0.6286
0.45	1.045  4.588  0.5269
0.45	1.055  4.446  0.6431
0.45	1.065  4.708  0.5197
0.45	1.075  4.332  0.7364
0.45	1.085  4.432  0.5275
0.45	1.095  4.133  0.5084
0.45	1.105  4.342  0.5035
0.45	1.115  4.39  0.5
0.45	1.125  4.118  0.483
0.45	1.135  4.222  0.4807
0.45	1.145  4.437  0.4902
0.45	1.155  4.062  0.4642
0.45	1.165  4.257  0.4737
0.45	1.175  4.11  0.4971
0.45	1.185  4.208  0.5475
0.45	1.195  4.158  0.4913
0.45	1.205  4.194  0.5325
0.45	1.215  4.035  0.534
0.45	1.225  4.002  0.434
0.45	1.235  4.059  0.4579
0.45	1.245  3.961  0.4523
0.45	1.255  4.078  0.4549
0.45	1.265  4.101  0.4503
0.45	1.275  4.05  0.4415
0.45	1.285  4.32  0.4849
0.45	1.295  4.144  0.4595
0.45	1.305  4.045  0.4399
0.45	1.315  3.859  0.4261
0.45	1.325  3.59  0.4029
0.45	1.335  3.867  0.4201
0.45	1.345  3.656  0.4168
0.45	1.355  3.732  0.4113
0.45	1.365  3.579  0.4024
0.45	1.375  3.138  0.3855
0.45	1.385  3.519  0.3897
0.45	1.395  3.21  0.376
0.55	0.405  0.7017  0.1457
0.55	0.415  0.7576  0.1609
0.55	0.425  0.8047  0.1439
0.55	0.435  0.9705  0.1754
0.55	0.445  1.109  0.2769
0.55	0.455  0.973  0.16
0.55	0.465  0.9438  0.2593
0.55	0.475  1.1  0.2534
0.55	0.485  1.229  0.3711
0.55	0.495  1.329  0.2117
0.55	0.505  1.455  0.244
0.55	0.515  1.532  0.2398
0.55	0.525  1.701  0.3973
0.55	0.535  1.713  0.3048
0.55	0.545  1.68  0.2492
0.55	0.555  2.041  0.3537
0.55	0.565  2.011  0.2808
0.55	0.575  2.123  0.2911
0.55	0.585  2.477  0.3677
0.55	0.595  2.498  0.3663
0.55	0.605  2.899  0.3162
0.55	0.615  3.088  0.3703
0.55	0.625  3.513  0.4626
0.55	0.635  3.574  0.4259
0.55	0.645  4.486  0.7741
0.55	0.655  4.359  0.9623
0.55	0.665  5.595  0.7557
0.55	0.675  5.86  0.8501
0.55	0.685  6.741  1.069
0.55	0.695  7.986  0.8593
0.55	0.705  9.012  1.141
0.55	0.715  10.72  1.149
0.55	0.725  11.64  1.324
0.55	0.735  12.39  1.636
0.55	0.745  14.61  1.532
0.55	0.755  14.8  1.547
0.55	0.765  14.98  1.83
0.55	0.775  14.53  1.915
0.55	0.785  13.57  1.64
0.55	0.795  13.05  1.355
0.55	0.805  12.55  1.402
0.55	0.815  11.11  1.156
0.55	0.825  10.1  1.071
0.55	0.835  9.203  1.01
0.55	0.845  8.79  0.9662
0.55	0.855  8.378  0.9999
0.55	0.865  7.485  0.8317
