CLAS physics database search results
Measurement E28M11
g11
M. Battaglieri
2009

-t variable	M(pi+,pi-)	Y_11	Data errors
GeV2	GeV	mcb/GeV3	mcb/GeV3
0.45	0.405	-0.1048	-0.276
0.45	0.415	-0.1343	-0.3466
0.45	0.425	-0.01117	-0.2005
0.45	0.435	0.09556	0.4051
0.45	0.445	-0.1581	-0.2256
0.45	0.455	-0.01063	-0.2288
0.45	0.465	-0.2121	-0.2904
0.45	0.475	-0.2528	-0.1871
0.45	0.485	-0.7839	-1.097
0.45	0.495	-0.1184	-0.2342
0.45	0.505	-0.2273	-0.3457
0.45	0.515	-0.06707	-0.2235
0.45	0.525	0.3864	0.4593
0.45	0.535	0.04479	0.3734
0.45	0.545	-0.7953	-0.7905
0.45	0.555	-0.211	-0.2181
0.45	0.565	-0.5885	-0.537
0.45	0.575	-0.1302	-0.4384
0.45	0.585	-0.7384	-0.533
0.45	0.595	-0.233	-0.2989
0.45	0.605	-1.077	-0.887
0.45	0.615	-1.075	-0.648
0.45	0.625	-0.6481	-0.5798
0.45	0.635	-0.3344	-0.395
0.45	0.645	-1.256	-1.316
0.45	0.655	-0.7819	-0.9319
0.45	0.665	-1.504	-1.26
0.45	0.675	-1.809	-1.27
0.45	0.685	-2.001	-1.954
0.45	0.695	-2.387	-1.659
0.45	0.705	-2.592	-2.587
0.45	0.715	-1.776	-0.7779
0.45	0.725	-2.292	-0.9864
0.45	0.735	-3.514	-1.799
0.45	0.745	-2.123	-0.9444
0.45	0.755	-2.359	-1.322
0.45	0.765	-3.534	-1.806
0.45	0.775	-2.282	-1.197
0.45	0.785	-2.621	-0.9227
0.45	0.795	-1.588	-0.8735
0.45	0.805	-1.777	-1.179
0.45	0.815	-0.3035	-0.675
0.45	0.825	-0.803	-0.532
0.45	0.835	-0.6162	-0.4696
0.45	0.845	-0.2834	-0.7505
0.45	0.855	0.2665	0.8946
0.45	0.865	-0.6477	-0.4024
0.45	0.875	-1.057	-0.3952
0.45	0.885	-0.2131	-0.4997
0.45	0.895	0.2106	0.6277
0.45	0.905	-0.1071	-0.5697
0.45	0.915	-0.8204	-0.4858
0.45	0.925	-0.149	-0.4819
0.45	0.935	-0.6319	-0.5391
0.45	0.945	-0.7275	-0.4546
0.45	0.955	-0.4724	-0.2511
0.45	0.965	-0.6354	-0.4368
0.45	0.975	-1.085	-0.6084
0.45	0.985	-0.7088	-0.3599
0.45	0.995	-0.4312	-0.4176
0.45	1.005	-0.415	-0.1939
0.45	1.015	-0.4232	-0.4767
0.45	1.025	-0.3231	-0.269
0.45	1.035	-0.3523	-0.2434
0.45	1.045	-0.2687	-0.4209
0.45	1.055	-0.3073	-0.4404
0.45	1.065	-0.4287	-0.3121
0.45	1.075	-0.5837	-0.3731
0.45	1.085	-0.4092	-0.3827
0.45	1.095	-0.04925	-0.1436
0.45	1.105	-0.1598	-0.1409
0.45	1.115	-0.04787	-0.2428
0.45	1.125	-0.2842	-0.2086
0.45	1.135	-0.001583	-0.2316
0.45	1.145	-0.2287	-0.1858
0.45	1.155	0.1023	0.1686
0.45	1.165	-0.0893	-0.1226
0.45	1.175	0.09997	0.1754
0.45	1.185	-0.06129	-0.1162
0.45	1.195	-0.02149	-0.1941
0.45	1.205	0.1141	0.1365
0.45	1.215	0.04149	0.1404
0.45	1.225	0.007124	0.1315
0.45	1.235	-0.01952	-0.1496
0.45	1.245	0.02761	0.1223
0.45	1.255	0.3613	0.3208
0.45	1.265	0.1196	0.1282
0.45	1.275	0.1211	0.1438
0.45	1.285	0.2308	0.1507
0.45	1.295	0.1326	0.1189
0.45	1.305	0.1606	0.1398
0.45	1.315	0.03862	0.1217
0.45	1.325	0.0211	0.1102
0.45	1.335	0.1094	0.1437
0.45	1.345	0.2369	0.1702
0.45	1.355	0.2154	0.1346
0.45	1.365	0.1073	0.1339
0.45	1.375	0.06302	0.1829
0.45	1.385	0.1028	0.1365
0.45	1.395	0.1696	0.1469
0.55	0.405	0.1033	0.09482
0.55	0.415	0.1259	0.09588
0.55	0.425	0.03628	0.1045
0.55	0.435	0.0837	0.09622
0.55	0.445	0.2004	0.1806
0.55	0.455	0.1223	0.123
0.55	0.465	0.2016	0.1342
0.55	0.475	0.0455	0.1869
0.55	0.485	0.1884	0.1838
0.55	0.495	0.1731	0.1376
0.55	0.505	0.272	0.1517
0.55	0.515	0.1321	0.1283
0.55	0.525	-0.01288	-0.1724
0.55	0.535	0.06243	0.1584
0.55	0.545	0.2961	0.3495
0.55	0.555	0.1811	0.2094
0.55	0.565	0.3555	0.4214
0.55	0.575	0.2987	0.2338
0.55	0.585	0.007635	0.2907
0.55	0.595	0.05098	0.2073
0.55	0.605	-0.07513	-0.4482
0.55	0.615	-0.005164	-0.1883
0.55	0.625	-0.1838	-0.3376
0.55	0.635	0.04088	0.3227
0.55	0.645	-0.352	-0.3178
0.55	0.655	-0.2447	-0.3221
0.55	0.665	-0.1194	-0.291
0.55	0.675	-0.06086	-0.1652
0.55	0.685	-0.4141	-0.5701
0.55	0.695	-0.2439	-0.3394
0.55	0.705	-0.749	-0.5709
0.55	0.715	-0.5745	-0.4672
0.55	0.725	-1.281	-0.6334
0.55	0.735	-0.9453	-0.5461
0.55	0.745	-1.062	-0.3908
0.55	0.755	-1.595	-0.5566
0.55	0.765	-1.913	-0.721
0.55	0.775	-0.9152	-0.4324
0.55	0.785	-0.7413	-0.3895
0.55	0.795	-0.7102	-0.3355
0.55	0.805	-1.026	-0.3784
0.55	0.815	-1.15	-0.5727
0.55	0.825	-1.127	-0.4787
0.55	0.835	-0.6216	-0.3285
0.55	0.845	-0.5498	-0.5008
0.55	0.855	-0.8126	-0.4309
0.55	0.865	-0.5682	-0.2924
0.55	0.875	-0.449	-0.2881
0.55	0.885	-0.3634	-0.2115
0.55	0.895	-0.4344	-0.2003
0.55	0.905	-0.5707	-0.2282
0.55	0.915	-0.1995	-0.2617
0.55	0.925	-0.4818	-0.2132
0.55	0.935	-0.4531	-0.1829
0.55	0.945	-0.3758	-0.2379
0.55	0.955	-0.3325	-0.1525
0.55	0.965	-0.6419	-0.1874
0.55	0.975	-0.749	-0.1993
0.55	0.985	-0.516	-0.2594
0.55	0.995	-0.2693	-0.1944
0.55	1.005	-0.2948	-0.1479
0.55	1.015	-0.1211	-0.1743
0.55	1.025	0.06562	0.2235
0.55	1.035	-0.2376	-0.1747
0.55	1.045	-0.2056	-0.1356
0.55	1.055	-0.03196	-0.1187
0.55	1.065	-0.294	-0.2504
0.55	1.075	-0.3076	-0.1465
0.55	1.085	-0.2186	-0.09184
0.55	1.095	0.01626	0.1234
0.55	1.105	0.123	0.1354
0.55	1.115	-0.06771	-0.242
0.55	1.125	-0.05778	-0.1117
0.55	1.135	-0.268	-0.1778
0.55	1.145	-0.02094	-0.08622
0.55	1.155	-0.06987	-0.09832
0.55	1.165	0.0926	0.1383
0.55	1.175	0.1182	0.1701
0.55	1.185	0.1559	0.1761
0.55	1.195	-0.1195	-0.1343
0.55	1.205	-0.03316	-0.1199
0.55	1.215	0.01522	0.1441
0.55	1.225	0.1218	0.1523
0.55	1.235	0.1375	0.1941
0.55	1.245	-0.005801	-0.2039
0.55	1.255	0.1626	0.1588
0.55	1.265	0.2822	0.2016
0.55	1.275	0.2999	0.1881
0.55	1.285	0.2739	0.2184
0.55	1.295	0.09543	0.1297
0.55	1.305	0.1723	0.1395
0.55	1.315	0.1691	0.1759
0.55	1.325	0.2687	0.1952
0.55	1.335	0.07161	0.109
0.55	1.345	0.2641	0.1305
0.55	1.355	0.1184	0.1147
0.55	1.365	0.178	0.1381
0.55	1.375	0.2365	0.1324
0.55	1.385	0.1528	0.1575
0.55	1.395	0.06686	0.1039
0.65	0.405	0.04602	0.04049
0.65	0.415	0.1457	0.05328
0.65	0.425	-0.02907	-0.0705
0.65	0.435	0.06731	0.07706
0.65	0.445	0.187	0.08125
0.65	0.455	0.1895	0.08506
0.65	0.465	0.06719	0.2157
0.65	0.475	0.1996	0.09106
0.65	0.485	0.2098	0.1007
0.65	0.495	0.1885	0.1245
0.65	0.505	0.1385	0.0895
0.65	0.515	0.1999	0.1688
0.65	0.525	0.05193	0.1262
0.65	0.535	0.07068	0.2449
0.65	0.545	0.08411	0.1728
0.65	0.555	0.2114	0.1033
0.65	0.565	0.05453	0.1711
0.65	0.575	0.1613	0.1059
0.65	0.585	0.2783	0.1551
0.65	0.595	0.1132	0.1262
0.65	0.605	0.2194	0.0808
0.65	0.615	0.1859	0.1581
0.65	0.625	-0.03331	-0.1868
0.65	0.635	0.1211	0.2611
0.65	0.645	0.06639	0.2365
0.65	0.655	0.1808	0.1599
0.65	0.665	0.02706	0.152
0.65	0.675	0.005829	0.1979
0.65	0.685	0.07827	0.2687
0.65	0.695	0.1628	0.1863
0.65	0.705	-0.03916	-0.2471
0.65	0.715	-0.3604	-0.2113
0.65	0.725	-0.5055	-0.2285
0.65	0.735	-0.3188	-0.224
0.65	0.745	-0.4949	-0.2657
0.65	0.755	-0.5207	-0.3191
0.65	0.765	-0.895	-0.2675
0.65	0.775	-1.124	-0.4466
0.65	0.785	-0.9016	-0.5528
0.65	0.795	-0.5611	-0.2512
0.65	0.805	-0.7415	-0.3567
0.65	0.815	-0.5374	-0.198
0.65	0.825	-0.4359	-0.2858
0.65	0.835	-0.902	-0.3411
0.65	0.845	-0.793	-0.414
0.65	0.855	-0.4919	-0.3587
0.65	0.865	-0.5177	-0.3044
0.65	0.875	-0.519	-0.3228
0.65	0.885	-0.5324	-0.1982
0.65	0.895	-0.5237	-0.2985
0.65	0.905	-0.3859	-0.2665
0.65	0.915	-0.248	-0.2281
0.65	0.925	-0.4116	-0.1677
