0.405	-0.03302	-0.02436
0.415	-0.04827	-0.02838
0.425	-0.0753	-0.03245
0.435	-0.003404	-0.02997
0.445	-0.04255	-0.03116
0.455	-0.1041	-0.04141
0.465	-0.1873	-0.06709
0.475	-0.1226	-0.05293
0.485	-0.2297	-0.09149
0.495	-0.1812	-0.06462
0.505	-0.1772	-0.05958
0.515	-0.1672	-0.06391
0.525	-0.2371	-0.1022
0.535	-0.2592	-0.0769
0.545	-0.2298	-0.06758
0.555	-0.2032	-0.06153
0.565	-0.2043	-0.06
0.575	-0.1772	-0.05882
0.585	-0.2163	-0.09864
0.595	-0.1548	-0.09246
0.605	-0.2568	-0.07828
0.615	-0.1989	-0.0952
0.625	-0.2055	-0.07291
0.635	-0.3278	-0.08601
0.645	-0.3196	-0.08224
0.655	-0.2143	-0.08539
0.665	-0.4418	-0.09433
0.675	-0.6012	-0.1098
0.685	-0.4907	-0.1168
0.695	-0.5422	-0.14
0.705	-0.5936	-0.1557
0.715	-0.8117	-0.1542
0.725	-0.7438	-0.1684
0.735	-0.9329	-0.1609
0.745	-1.022	-0.1783
0.755	-1.093	-0.1798
0.765	-0.9939	-0.1664
0.775	-0.9863	-0.1605
0.785	-0.7906	-0.1393
0.795	-0.6484	-0.1213
0.805	-0.6891	-0.1209
0.815	-0.5823	-0.1008
0.825	-0.4608	-0.09847
0.835	-0.3569	-0.08629
0.845	-0.3599	-0.08246
0.855	-0.4007	-0.08001
0.865	-0.2812	-0.06398
0.875	-0.3154	-0.06692
0.885	-0.2596	-0.06397
0.895	-0.1694	-0.05692
0.905	-0.256	-0.06132
0.915	-0.2069	-0.05296
0.925	-0.2359	-0.0634
0.935	-0.1844	-0.05526
0.945	-0.2252	-0.05529
0.955	-0.3553	-0.06899
0.965	-0.237	-0.05416
0.975	-0.2248	-0.06064
0.985	-0.2113	-0.05239
0.995	-0.1015	-0.04949
1.005	-0.1583	-0.06644
1.015	-0.1668	-0.04849
1.025	-0.2088	-0.06165
1.035	-0.193	-0.06571
1.045	-0.2473	-0.07444
1.055	-0.1756	-0.0634
1.065	-0.1628	-0.06369
1.075	-0.1251	-0.05764
1.085	-0.06827	-0.05464
1.095	-0.1597	-0.06069
1.105	-0.1117	-0.05825
1.115	-0.1564	-0.06431
1.125	-0.0394	-0.06601
1.135	-0.175	-0.06802
1.145	-0.1662	-0.06578
1.155	-0.04971	-0.06942
1.165	-0.04868	-0.06309
1.175	-0.1175	-0.1031
1.185	-0.234	-0.1246
1.195	-0.1417	-0.1097
1.205	-0.1039	-0.06137
1.215	-0.07412	-0.06213
1.225	-0.16	-0.06448
1.235	-0.1472	-0.0643
1.245	-0.1263	-0.08851
1.255	-0.2769	-0.1066
1.265	-0.1905	-0.07825
1.275	-0.09419	-0.06856
1.285	-0.1787	-0.114
1.295	-0.07169	-0.06839
1.305	-0.06714	-0.07096
1.315	-0.08242	-0.07731
1.325	-0.15	-0.09754
1.335	0.01632	0.07661
1.345	-0.09196	-0.07738
1.355	-0.08978	-0.07129
1.365	-0.1018	-0.09652
1.375	-0.1712	-0.1068
1.385	-0.1575	-0.079
1.395	-0.02621	-0.06794
