#CLAS physics database search results
#Measurement E28M2
#g11
#M. Battaglieri
#2009
#
#-t variable	M(pi+,pi-)	Y_00	Data errors
#GeV2	GeV	mcb/GeV3	mcb/GeV3
0.55	1.265	3.71	0.4014
0.55	1.275	3.847	0.4059
0.55	1.285	3.734	0.4003
0.55	1.295	3.526	0.3855
0.55	1.305	3.707	0.3977
0.55	1.315	3.457	0.3708
0.55	1.325	3.492	0.3888
0.55	1.335	3.408	0.3678
0.55	1.345	3.57	0.3763
0.55	1.355	3.544	0.3838
0.55	1.365	3.663	0.4094
0.55	1.375	3.229	0.3501
0.55	1.385	3.38	0.3719
0.55	1.395	3.386	0.3615

0.65	0.405	0.7576	0.08357
0.65	0.415	0.7428	0.0838
0.65	0.425	0.8984	0.1021
0.65	0.435	0.9447	0.1132
0.65	0.445	1.188	0.1439
0.65	0.455	1.205	0.1528
0.65	0.465	1.452	0.189
0.65	0.475	1.412	0.1991
0.65	0.485	1.438	0.1693
0.65	0.495	1.361	0.1865
0.65	0.505	1.568	0.2055
0.65	0.515	1.543	0.1814
0.65	0.525	1.63	0.1964
0.65	0.535	1.687	0.2148
0.65	0.545	1.911	0.2323
0.65	0.555	1.828	0.2121
0.65	0.565	2.049	0.2413
0.65	0.575	2.007	0.2526
0.65	0.585	2.251	0.26
0.65	0.595	2.442	0.2684
0.65	0.605	2.524	0.2848
0.65	0.615	2.598	0.2857
0.65	0.625	3.021	0.3317
0.65	0.635	3.152	0.3385
0.65	0.645	3.416	0.3668
0.65	0.655	3.842	0.4272
0.65	0.665	4.179	0.4588
0.65	0.675	4.772	0.4976
0.65	0.685	5.062	0.5361
0.65	0.695	5.865	0.6119
0.65	0.705	6.861	0.7057
0.65	0.715	7.412	0.7616
0.65	0.725	8.456	0.8636
0.65	0.735	9.147	0.9556
0.65	0.745	9.821	1.006
0.65	0.755	10.05	1.025
0.65	0.765	10.86	1.118
0.65	0.775	10.12	1.077
0.65	0.785	9.528	0.9773
0.65	0.795	8.884	0.906
0.65	0.805	7.954	0.8384
0.65	0.815	7.768	0.7942
0.65	0.825	7.195	0.7502
0.65	0.835	6.592	0.6904
0.65	0.845	6.368	0.6667
0.65	0.855	5.809	0.6238
0.65	0.865	5.705	0.6131
0.65	0.875	4.887	0.5085
0.65	0.885	4.911	0.5244
0.65	0.895	4.635	0.5076
0.65	0.905	4.341	0.4635
0.65	0.915	4.459	0.5038
0.65	0.925	4.314	0.4654
0.65	0.935	4.08	0.4491
0.65	0.945	3.808	0.4194
0.65	0.955	3.704	0.3979
0.65	0.965	3.625	0.3923
0.65	0.975	3.352	0.3695
0.65	0.985	3.146	0.3335
