CLAS physics database search results
Measurement E28M10
g11
M. Battaglieri
2009

-t variable	M(pi+,pi-)	Y_11	Data errors
GeV2	GeV	mcb/GeV3	mcb/GeV3
0.45	0.405	0.1238	0.1699
0.45	0.415	0.02497	0.2034
0.45	0.425	0.3226	0.2521
0.45	0.435	-0.01707	-0.1473
0.45	0.445	0.1058	0.3714
0.45	0.455	0.1354	0.2465
0.45	0.465	0.2283	0.2103
0.45	0.475	-0.2034	-0.3592
0.45	0.485	0.1072	0.1893
0.45	0.495	-0.2105	-0.3541
0.45	0.505	-0.1538	-0.377
0.45	0.515	-0.2405	-0.299
0.45	0.525	0.1559	0.2384
0.45	0.535	-0.7047	-0.9647
0.45	0.545	-0.1705	-0.3881
0.45	0.555	0.06615	0.3826
0.45	0.565	-0.1679	-0.2179
0.45	0.575	-0.2458	-0.2087
0.45	0.585	-0.0973	-0.292
0.45	0.595	-0.3712	-0.2517
0.45	0.605	-0.01044	-0.3468
0.45	0.615	-0.2572	-0.3486
0.45	0.625	-0.4428	-0.2884
0.45	0.635	-0.5035	-0.4727
0.45	0.645	-0.2182	-0.4375
0.45	0.655	-0.7964	-0.634
0.45	0.665	-1.14	-0.8111
0.45	0.675	-0.9401	-0.5377
0.45	0.685	-1.417	-0.7229
0.45	0.695	-1.269	-0.6763
0.45	0.705	-1.035	-0.5184
0.45	0.715	-1.993	-0.7743
0.45	0.725	-2.247	-0.9095
0.45	0.735	-2.048	-0.7772
0.45	0.745	-2.179	-0.6607
0.45	0.755	-2.514	-0.7462
0.45	0.765	-2.358	-0.82
0.45	0.775	-2.661	-0.626
0.45	0.785	-0.8883	-0.8302
0.45	0.795	-1.008	-0.7027
0.45	0.805	-1.425	-0.5983
0.45	0.815	-1.26	-0.5065
0.45	0.825	-0.8108	-0.9545
0.45	0.835	-1.226	-0.6808
0.45	0.845	-0.6717	-0.5231
0.45	0.855	-1.084	-0.4383
0.45	0.865	-0.9312	-0.5659
0.45	0.875	-0.6762	-0.3903
0.45	0.885	-0.8443	-0.3898
0.45	0.895	-0.7601	-0.388
0.45	0.905	-0.8064	-0.3464
0.45	0.915	-1.304	-0.5039
0.45	0.925	-0.847	-0.4573
0.45	0.935	-1.197	-0.5365
0.45	0.945	-1.096	-0.468
0.45	0.955	-1.527	-0.5288
0.45	0.965	-1.272	-0.3298
0.45	0.975	-1.309	-0.2506
0.45	0.985	-1.281	-0.5856
0.45	0.995	-1.015	-0.5299
0.45	1.005	-0.8426	-0.4389
0.45	1.015	-0.8446	-0.4551
0.45	1.025	-1.019	-0.4995
0.45	1.035	-0.7094	-0.3574
0.45	1.045	-0.6275	-0.4009
0.45	1.055	-0.6354	-0.4236
0.45	1.065	-0.7759	-0.3635
0.45	1.075	-0.5387	-0.2767
0.45	1.085	-0.5411	-0.3121
0.45	1.095	-0.3603	-0.2727
0.45	1.105	-0.4922	-0.3675
0.45	1.115	-0.3377	-0.177
0.45	1.125	-0.3397	-0.1338
0.45	1.135	-0.283	-0.2007
0.45	1.145	-0.2927	-0.2523
0.45	1.155	-0.1566	-0.1443
0.45	1.165	0.06097	0.2077
0.45	1.175	-0.1912	-0.169
0.45	1.185	0.03722	0.2209
0.45	1.195	-0.4377	-0.2841
0.45	1.205	-0.2347	-0.1648
0.45	1.215	-0.2529	-0.1921
0.45	1.225	0.2103	0.2301
0.45	1.235	-0.05842	-0.1486
0.45	1.245	0.1847	0.2161
0.45	1.255	0.1726	0.2169
0.45	1.265	0.271	0.1625
0.45	1.275	0.3518	0.154
0.45	1.285	0.2966	0.2243
0.45	1.295	0.2206	0.1928
0.45	1.305	0.1452	0.1255
0.45	1.315	0.2721	0.1752
0.45	1.325	-0.121	-0.2554
0.45	1.335	0.02653	0.1208
0.45	1.345	-0.002527	-0.185
0.45	1.355	-0.08066	-0.1978
0.45	1.365	0.09049	0.2076
0.45	1.375	0.02271	0.1616
0.45	1.385	-0.03303	-0.1757
0.45	1.395	-0.1271	-0.2125
0.55	0.405	0.08374	0.07408
0.55	0.415	0.06496	0.0729
0.55	0.425	0.08864	0.07903
0.55	0.435	0.1376	0.1401
0.55	0.445	0.1056	0.09688
0.55	0.455	0.1326	0.1412
0.55	0.465	0.1038	0.1817
0.55	0.475	0.3133	0.1302
0.55	0.485	0.1093	0.2211
0.55	0.495	0.2448	0.1476
0.55	0.505	0.2284	0.1289
0.55	0.515	0.1466	0.1289
0.55	0.525	0.2787	0.1553
0.55	0.535	0.1703	0.1633
0.55	0.545	0.2914	0.1481
0.55	0.555	0.04366	0.1215
0.55	0.565	0.3375	0.1675
0.55	0.575	0.1883	0.1642
0.55	0.585	0.2228	0.2227
0.55	0.595	0.2396	0.2524
0.55	0.605	0.07992	0.24
0.55	0.615	0.07205	0.3794
