#CLAS physics database search results
#Measurement E28M3
#g11
#M. Battaglieri
#2009
#
#-t variable	M(pi+,pi-)	Y_00	Data errors
#GeV2	GeV	mcb/GeV3	mcb/GeV3
0.45	0.405	1.103	0.3058
0.45	0.415	1.119	0.3826
0.45	0.425	1.289	0.2503
0.45	0.435	1.58	0.4366
0.45	0.445	1.431	0.2826
0.45	0.455	1.644	0.2811
0.45	0.465	1.613	0.3291
0.45	0.475	1.654	0.2439
0.45	0.485	1.154	1.098
0.45	0.495	2.11	0.3199
0.45	0.505	1.993	0.4055
0.45	0.515	2.325	0.3241
0.45	0.525	3.081	0.5471
0.45	0.535	2.931	0.4619
0.45	0.545	2.256	0.8039
0.45	0.555	3.181	0.385
0.45	0.565	3.21	0.6066
0.45	0.575	3.845	0.5771
0.45	0.585	3.585	0.623
0.45	0.595	4.662	0.555
0.45	0.605	4.399	0.958
0.45	0.615	4.903	0.7869
0.45	0.625	6.021	0.823
0.45	0.635	6.974	0.789
0.45	0.645	7.19	1.453
0.45	0.655	8.652	1.236
0.45	0.665	9.341	1.535
0.45	0.675	10.61	1.608
0.45	0.685	12.6	2.276
0.45	0.695	14.51	2.158
0.45	0.705	16.79	3.017
0.45	0.715	19.89	2.126
0.45	0.725	22.45	2.441
0.45	0.735	23.82	2.951
0.45	0.745	27.68	2.943
0.45	0.755	29.42	3.226
0.45	0.765	28.77	3.385
0.45	0.775	30.04	3.191
0.45	0.785	26.48	2.772
0.45	0.795	24.61	2.603
0.45	0.805	22.84	2.528
0.45	0.815	22.31	2.306
0.45	0.825	19.52	2.005
0.45	0.835	17.9	1.838
0.45	0.845	16.08	1.752
0.45	0.855	15.41	1.731
0.45	0.865	13.32	1.395
0.45	0.875	11.56	1.226
0.45	0.885	11.55	1.228
0.45	0.895	10.85	1.219
0.45	0.905	9.922	1.124
0.45	0.915	8.443	0.9682
0.45	0.925	8.783	0.9875
0.45	0.935	7.754	0.9517
0.45	0.945	7.44	0.8765
0.45	0.955	7.27	0.7674
0.45	0.965	6.916	0.8277
0.45	0.975	6.129	0.8729
0.45	0.985	5.851	0.7041
0.45	0.995	5.794	0.7484
0.45	1.005	5.262	0.5835
0.45	1.015	5.277	0.7461
0.45	1.025	5.034	0.5857
0.45	1.035	4.826	0.5748
0.45	1.045	4.938	0.6781
0.45	1.055	4.87	0.686
0.45	1.065	4.505	0.5683
0.45	1.075	4.292	0.6091
0.45	1.085	4.403	0.6063
0.45	1.095	4.737	0.5072
0.45	1.105	4.653	0.5006
0.45	1.115	4.745	0.5453
0.45	1.125	4.209	0.5005
0.45	1.135	4.556	0.5291
0.45	1.145	4.12	0.4668
0.45	1.155	4.589	0.4951
0.45	1.165	4.124	0.4389
0.45	1.175	4.345	0.4754
0.45	1.185	4.053	0.4353
0.45	1.195	4.112	0.4543
0.45	1.205	4.181	0.4479
0.45	1.215	4.153	0.4477
0.45	1.225	4.362	0.4671
