0.405  0.03385  0.0293
0.415  0.02932  0.02597
0.425  -0.01206  0.02498
0.435  0.006786  0.02685
0.445  0.01921  0.02733
0.455  -0.0185  0.02511
0.465  0.002827  0.03412
0.475  0.03439  0.0354
0.485  0.008771  0.02921
0.495  0.03831  0.03668
0.505  0.07458  0.03197
0.515  0.04626  0.0359
0.525  0.06944  0.03961
0.535  0.09537  0.0408
0.545  0.112  0.04808
0.555  0.03684  0.0393
0.565  0.1009  0.04595
0.575  0.06248  0.03952
0.585  0.173  0.06372
0.595  0.2092  0.05514
0.605  0.1561  0.0509
0.615  0.1753  0.05577
0.625  0.125  0.05413
0.635  0.2042  0.06003
0.645  0.15  0.07144
0.655  0.02804  0.06048
0.665  0.13  0.06574
0.675  0.171  0.09347
0.685  0.01595  0.06742
0.695  0.01254  0.0773
0.705  0.1101  0.09552
0.715  0.1011  0.08406
0.725  0.1082  0.07956
0.735  -0.2353  0.1007
0.745  -0.06689  0.09828
0.755  -0.1907  0.1365
0.765  -0.2954  0.1639
0.775  -0.1968  0.1095
0.785  -0.009287  0.0854
0.795  -0.08478  0.09858
0.805  -0.1728  0.1204
0.815  -0.1029  0.09233
0.825  -0.06857  0.08048
0.835  -0.0204  0.09741
0.845  0.09191  0.07122
0.855  0.06178  0.06563
0.865  0.1454  0.06801
0.875  0.1212  0.06378
0.885  0.1801  0.09173
0.895  0.1708  0.07414
0.905  0.1725  0.08023
0.915  0.1658  0.06188
0.925  0.1812  0.07972
0.935  0.1948  0.07657
0.945  0.3222  0.07249
0.955  0.2649  0.07698
0.965  0.3549  0.09421
0.975  0.3415  0.06586
0.985  0.5614  0.174
0.995  0.3081  0.08204
1.005  0.3075  0.09398
1.015  0.4252  0.08298
1.025  0.629  0.08611
1.035  0.4308  0.1241
1.045  0.4834  0.07548
1.055  0.6151  0.1151
1.065  0.4162  0.1069
1.075  0.3075  0.1318
1.085  0.5195  0.1195
1.095  0.4188  0.1368
1.105  0.5514  0.1411
1.115  0.3608  0.08649
1.125  0.4555  0.1242
1.135  0.3934  0.1383
1.145  0.4367  0.1014
1.155  0.3178  0.1437
1.165  0.3178  0.1194
1.175  0.3644  0.1675
1.185  0.4216  0.1387
1.195  0.5122  0.1705
1.205  0.3667  0.1229
1.215  0.6547  0.1782
1.225  0.5525  0.1179
1.235  0.2521  0.1168
1.245  0.2932  0.1354
1.255  0.4492  0.1395
1.265  0.4223  0.1524
1.275  0.4473  0.1186
1.285  0.3426  0.1159
1.295  0.4002  0.1352
1.305  0.558  0.1016
1.315  0.3479  0.1528
1.325  0.4139  0.1439
1.335  0.4041  0.1264
1.345  0.2975  0.1713
1.355  0.4232  0.1654
1.365  0.3613  0.1457
1.375  0.551  0.1553
1.385  0.3514  0.1209
1.395  0.3643  0.1114
