0.405 0.02127 0.1759
0.415 -0.06979 -0.2176
0.425 0.04461 0.1749
0.435 -0.2662 -0.1473
0.445 -0.156 -0.1588
0.455 -0.2034 -0.1586
0.465 -0.1896 -0.1467
0.475 -0.3163 -0.1267
0.485 -0.1723 -0.2499
0.495 -0.499 -0.1159
0.505 -0.4058 -0.2078
0.515 -0.521 -0.1307
0.525 -0.7741 -0.1329
0.535 -0.6108 -0.2976
0.545 -0.6505 -0.1472
0.555 -0.8879 -0.1348
0.565 -0.6533 -0.1437
0.575 -0.932 -0.1749
0.585 -0.8316 -0.1712
0.595 -1.067 -0.1999
0.605 -1.075 -0.2719
0.615 -1.197 -0.3073
0.625 -1.291 -0.3828
0.635 -1.548 -0.3221
0.645 -1.501 -0.4181
0.655 -1.993 -0.5848
0.665 -1.964 -0.5825
0.675 -2.2 -0.6528
0.685 -2.395 -0.7944
0.695 -3.129 -0.9524
0.705 -3.09 -1.12
0.715 -3.353 -0.789
0.725 -3.675 -0.9045
0.735 -4.217 -1.106
0.745 -4.028 -1.224
0.755 -4.298 -1.538
0.765 -3.898 -1.403
0.775 -3.678 -0.7629
0.785 -2.8 -0.8055
0.795 -1.616 -0.7121
0.805 -1.461 -0.3965
0.815 -1.126 -0.7136
0.825 -1.006 -0.5137
0.835 -0.6859 -0.4606
0.845 -0.7715 -0.4493
0.855 -0.1463 -0.3356
0.865 -0.1781 -0.4746
0.875 -0.3368 -0.4019
0.885 -0.1051 -0.3785
0.895 0.1754 0.2462
0.905 -0.09387 -0.4494
0.915 -0.5949 -0.4449
0.925 -0.1884 -0.4765
0.935 -0.4288 -0.5258
0.945 -0.5483 -0.4562
0.955 -0.4445 -0.2749
0.965 -0.2817 -0.4465
0.975 -0.6527 -0.4934
0.985 -0.5517 -0.4208
0.995 -0.4353 -0.5042
1.005 -0.6408 -0.4539
1.015 -0.5106 -0.5586
1.025 -0.4263 -0.3512
1.035 -0.5527 -0.478
1.045 -0.3651 -0.5146
1.055 -0.3904 -0.4696
1.065 -0.647 -0.4126
1.075 -0.7583 -0.5365
1.085 -0.3791 -0.4114
1.095 -0.2053 -0.3132
1.105 -0.3428 -0.3402
1.115 0.1665 0.3044
1.125 -0.5323 -0.435
1.135 -0.0584 -0.3538
1.145 -0.2994 -0.3474
1.155 0.08546 0.2559
1.165 -0.1242 -0.2277
1.175 0.09436 0.2335
1.185 -0.1869 -0.3222
1.195 -0.1666 -0.3112
1.205 0.02402 0.3174
1.215 0.1199 0.2071
1.225 -0.05751 -0.3048
1.235 -0.1078 -0.2305
1.245 -0.1405 -0.3216
1.255 0.1016 0.2672
1.265 -0.2236 -0.2859
1.275 -0.01052 -0.2829
1.285 -0.05949 -0.2871
1.295 -0.07616 -0.2945
1.305 -0.00675 -0.3271
1.315 -0.3529 -0.3784
1.325 -0.1805 -0.3777
1.335 -0.1231 -0.3706
1.345 0.06009 0.2882
1.355 0.1126 0.3165
1.365 -0.1626 -0.3426
1.375 -0.09397 -0.4579
1.385 0.02858 0.3414
1.395 -0.2483 -0.2519
