Vce (V),Ic (A),Vbe (V),Ib (A),Vrc (V),Vrb (V),delta Ic (A),delta Vbe (V),delta Ib (A)
0,-4.855115228184871e-05,-0.0025266796583892,1.227245100642927e-07,5,0.0,3.7133094250293644e-05,0.0067648379415582004,-1.3009303733765989e-08
0,-1.141805803155506e-05,0.004238158283169,1.097152063305267e-07,5,0.0075,0.0,0.0074413217357141995,2.0038171790805506e-08
0,-1.141805803155506e-05,0.0116794800188832,1.297533781213322e-07,5,0.015,0.0,0.0071030798386362,-1.3659768920454302e-08
0,-1.141805803155506e-05,0.0187825598575194,1.160936092008779e-07,5,0.0225,0.0,0.007441321735714199,2.0038171790805387e-08
0,-1.141805803155506e-05,0.0262238815932336,1.361317809916833e-07,5,0.03,0.0,0.006764837941558299,-1.3009303733766002e-08
0,-1.141805803155506e-05,0.0329887195347919,1.231224772579173e-07,5,0.0375,-3.7133094250293644e-05,0.0077795636327921,1.938770660411722e-08
0,-4.855115228184871e-05,0.040768283167584,1.425101838620345e-07,5,0.045,3.7133094250293644e-05,0.00811780552987,-1.5611164480519203e-08
0,-1.141805803155506e-05,0.048886088697454,1.268990193815153e-07,5,0.0525,-3.7133094250293644e-05,0.007779563632792003,-1.4960699293830903e-08
0,-4.855115228184871e-05,0.056665652330246,1.119383200876844e-07,5,0.06,0.0,0.007441321735714206,2.0038171790805387e-08
0,-4.855115228184871e-05,0.0641069740659602,1.319764918784898e-07,5,0.0675,0.0,0.007441321735714088,-1.431023410714259e-08
0,-4.855115228184871e-05,0.0715482958016743,1.176662577713472e-07,5,0.075,0.0,0.007103079838636311,2.0688636977493806e-08
0,-4.855115228184871e-05,0.0786513756403106,1.38354894748841e-07,5,0.0825,0.0,0.0071030798386362,2.0688636977493687e-08
0,-4.855115228184871e-05,0.0857544554789468,1.590435317263347e-07,5,0.09,3.7133094250293644e-05,0.0077795636327921,-4.930910519177889e-08
0,-1.141805803155506e-05,0.0935340191117389,1.097344265345558e-07,5,0.0975,0.0,0.0077795636327921,1.9387706604117087e-08
0,-1.141805803155506e-05,0.101313582744531,1.291221331386729e-07,5,0.105,0.0,0.00811780552987,1.873724141742892e-08
0,-1.141805803155506e-05,0.109431388274401,1.478593745561018e-07,5,0.1125,0.0,0.0071030798386362,-1.3659768920454302e-08
0,-1.141805803155506e-05,0.1165344681130372,1.341996056356475e-07,5,0.12,0.0,0.0077795636327921,-1.4960699293830903e-08
0,-1.141805803155506e-05,0.1243140317458293,1.192389063418166e-07,5,0.1275,-3.7133094250293644e-05,0.007779563632792086,1.9387706604117087e-08
0,-4.855115228184871e-05,0.1320935953786214,1.386266129459337e-07,5,0.135,0.0,0.006764837941558299,-1.3009303733765897e-08
0,-4.855115228184871e-05,0.1388584333201797,1.256173092121678e-07,5,0.1425,0.0,0.0074413217357141015,-1.431023410714259e-08
0,-4.855115228184871e-05,0.1462997550558938,1.113070751050252e-07,5,0.15,3.7133094250293644e-05,0.008117805529870015,1.8737241417428906e-08
0,-1.141805803155506e-05,0.1544175605857638,1.300443165224541e-07,5,0.1575,0.0,0.007779563632792086,-1.496069929383101e-08
0,-1.141805803155506e-05,0.1621971242185559,1.150836172286231e-07,5,0.165,0.0,0.006764837941558299,2.1339102164181987e-08
0,-1.141805803155506e-05,0.1689619621601142,1.364227193928051e-07,5,0.1725,-3.7133094250293644e-05,0.008117805529870015,-1.5611164480519097e-08
0,-4.855115228184871e-05,0.1770797676899842,1.20811554912286e-07,5,0.18,0.0,0.006764837941558299,2.133910216418212e-08
0,-4.855115228184871e-05,0.1838446056315425,1.421506570764681e-07,5,0.1875,0.0,0.007441321735714185,-1.4310234107142603e-08
0,-4.855115228184871e-05,0.1912859273672567,1.278404229693255e-07,5,0.195,0.0,0.007779563632792114,-1.496069929383101e-08
0,-4.855115228184871e-05,0.1990654910000488,1.128797236754945e-07,5,0.2025,3.7133094250293644e-05,0.008117805529869987,1.8737241417428893e-08
0,-1.141805803155506e-05,0.2071832965299188,1.316169650929234e-07,5,0.21,0.0,0.0074413217357141015,-1.431023410714259e-08
0,-1.141805803155506e-05,0.2146246182656329,1.173067309857808e-07,5,0.2175,0.0,0.0071030798386362,2.06886369774937e-08
0,-1.141805803155506e-05,0.2217276981042691,1.379953679632745e-07,5,0.225,-3.7133094250293644e-05,0.0074413217357142125,-1.4310234107142603e-08
0,-4.855115228184871e-05,0.2291690198399833,1.236851338561319e-07,5,0.2325,0.0,0.006764837941558299,-1.3009303733766002e-08
0,-4.855115228184871e-05,0.2359338577815416,1.106758301223659e-07,5,0.24,3.7133094250293644e-05,0.008117805529869987,1.8737241417428893e-08
0,-1.141805803155506e-05,0.2440516633114116,1.294130715397948e-07,5,0.2475,-3.7133094250293644e-05,0.007103079838636228,2.068863697749382e-08
0,-4.855115228184871e-05,0.2511547431500478,1.501017085172886e-07,5,0.255,3.7133094250293644e-05,0.009132531221103801,-1.7562560040583997e-08
0,-1.141805803155506e-05,0.2602872743711516,1.325391484767046e-07,5,0.2625,0.0,0.0074413217357141015,-1.4310234107142708e-08
0,-1.141805803155506e-05,0.2677285961068657,1.182289143695619e-07,5,0.27,0.0,0.006764837941558355,-1.3009303733766108e-08
0,-1.141805803155506e-05,0.2744934340484241,1.052196106357958e-07,5,0.2775,-3.7133094250293644e-05,0.00777956363279203,1.93877066041173e-08
0,-4.855115228184871e-05,0.2822729976812161,1.246073172399131e-07,5,0.285,3.7133094250293644e-05,0.007103079838636284,2.0688636977493608e-08
0,-1.141805803155506e-05,0.2893760775198524,1.452959542174067e-07,5,0.2925,-3.7133094250293644e-05,0.007103079838636228,-1.3659768920454197e-08
0,-4.855115228184871e-05,0.2964791573584886,1.316361852969525e-07,5,0.3,0.0,0.007103079838636173,2.0688636977493687e-08
0,-4.855115228184871e-05,0.3035822371971248,1.523248222744462e-07,5,0.3075,3.7133094250293644e-05,0.009132531221103801,-1.7562560040583997e-08
0,-1.141805803155506e-05,0.3127147684182286,1.347622622338622e-07,5,0.315,-3.7133094250293644e-05,0.006764837941558299,-1.3009303733766002e-08
0,-4.855115228184871e-05,0.3194796063597869,1.217529585000962e-07,5,0.3225,0.0,0.0074413217357142125,2.0038171790805413e-08
0,-4.855115228184871e-05,0.3269209280955011,1.417911302909016e-07,5,0.33,3.7133094250293644e-05,0.007779563632791975,1.9387706604117193e-08
0,-1.141805803155506e-05,0.3347004917282931,1.611788368950188e-07,5,0.3375,0.0,0.006764837941558299,-1.3009303733766002e-08
0,-1.141805803155506e-05,0.3414653296698514,1.481695331612528e-07,5,0.345,0.0,0.008117805529870126,-1.5611164480519203e-08
0,-1.141805803155506e-05,0.3495831351997215,1.325583686807336e-07,5,0.3525,0.0,0.006426596044480315,-1.2358838547077702e-08
0,-1.141805803155506e-05,0.3560097312442018,1.201995301336559e-07,5,0.36,0.0,0.008794289324025761,1.743631104405232e-08
0,-1.141805803155506e-05,0.3648040205682276,1.376358411777082e-07,5,0.3675,0.0,0.0074413217357142125,-1.4310234107142603e-08
0,-1.141805803155506e-05,0.3722453423039418,1.233256070705656e-07,5,0.375,0.0,0.0074413217357142125,-1.4310234107142708e-08
0,-1.141805803155506e-05,0.379686664039656,1.090153729634229e-07,5,0.3825,0.0,0.007103079838636173,2.0688636977493793e-08
0,-1.141805803155506e-05,0.3867897438782922,1.297040099409167e-07,5,0.39,0.0,0.0074413217357141015,-1.431023410714259e-08
0,-1.141805803155506e-05,0.3942310656140063,1.153937758337741e-07,5,0.3975,0.0,0.008117805529870126,-1.5611164480519216e-08
0,-1.141805803155506e-05,0.4023488711438764,9.978261135325488e-08,5,0.405,0.0,0.0064265960444803705,2.1989567350870314e-08
0,-1.141805803155506e-05,0.4087754671883568,1.217721787041252e-07,5,0.4125,-3.7133094250293644e-05,0.009132531221103746,1.6785845857364098e-08
0,-4.855115228184871e-05,0.4179079984094605,1.385580245614893e-07,5,0.42,0.0,0.006764837941558299,-1.3009303733766108e-08
0,-4.855115228184871e-05,0.4246728363510188,1.255487208277232e-07,5,0.4275,3.7133094250293644e-05,0.007441321735714157,-1.431023410714259e-08
0,-1.141805803155506e-05,0.432114158086733,1.112384867205806e-07,5,0.435,-3.7133094250293644e-05,0.00777956363279203,1.9387706604117206e-08
0,-4.855115228184871e-05,0.439893721719525,1.306261933246978e-07,5,0.4425,0.0,0.007103079838636284,-1.3659768920454408e-08
0,-4.855115228184871e-05,0.4469968015581613,1.169664244042434e-07,5,0.45,0.0,0.007103079838636228,2.0688636977493793e-08
0,-4.855115228184871e-05,0.4540998813967975,1.376550613817372e-07,5,0.4575,0.0,0.007441321735714157,-1.4310234107142576e-08
0,-4.855115228184871e-05,0.4615412031325117,1.233448272745946e-07,5,0.465,0.0,0.008794289324025817,-1.6912094853895816e-08
0,-4.855115228184871e-05,0.4703354924565375,1.064327324206988e-07,5,0.4725,0.0,0.007103079838636228,2.0688636977493806e-08
0,-4.855115228184871e-05,0.4774385722951737,1.271213693981926e-07,5,0.48,0.0,0.007779563632792086,1.9387706604117087e-08
0,-4.855115228184871e-05,0.4852181359279658,1.465090760023097e-07,5,0.4875,0.0,0.0064265960444803705,-1.2358838547077596e-08
0,-4.855115228184871e-05,0.4916447319724462,1.341502374552321e-07,5,0.495,0.0,0.007779563632792141,1.9387706604117113e-08
0,-4.855115228184871e-05,0.4994242956052383,1.535379440593492e-07,5,0.5025,0.0,0.007103079838636173,-1.3659768920454408e-08
0,-4.855115228184871e-05,0.5065273754438745,1.398781751388948e-07,5,0.51,0.0,0.0074413217357142125,2.0038171790805493e-08
0,-4.855115228184871e-05,0.5139686971795887,1.599163469297003e-07,5,0.5175,3.7133094250293644e-05,0.00811780552986996,1.873724141742892e-08
0,-1.141805803155506e-05,0.5220865027094587,1.786535883471292e-07,5,0.525,0.0,0.0074413217357141015,2.0038171790805493e-08
0,-1.141805803155506e-05,0.5295278244451728,1.986917601379347e-07,5,0.5325,0.0,0.007779563632792086,-1.496069929383101e-08
0,-1.141805803155506e-05,0.5373073880779649,1.837310608441037e-07,5,0.54,0.0,0.0064265960444803705,2.198956735087071e-08
0,-1.141805803155506e-05,0.5437339841224452,2.057206281949744e-07,5,0.5475,0.0,0.0074413217357142125,2.0038171790805307e-08
0,-1.141805803155506e-05,0.5511753058581594,2.257587999857797e-07,5,0.555,0.0,0.006764837941558355,2.1339102164181908e-08
0,-1.141805803155506e-05,0.5579401437997178,2.470979021499616e-07,5,0.5625,0.0,0.007103079838636228,5.5037042875441756e-08
0,-1.141805803155506e-05,0.565043223638354,3.021349450254034e-07,5,0.57,3.713309425029365e-05,0.007779563632792086,5.373611250206521e-08
0,2.571503621873859e-05,0.5728227872711461,3.558710575274686e-07,5,0.5775,0.0,0.006764837941558244,2.1339102164182437e-08
0,2.571503621873859e-05,0.5795876252127043,3.77210159691651e-07,5,0.585,0.0,0.006764837941558355,9.00359139600781e-08
0,2.571503621873859e-05,0.5863524631542627,4.672460736517291e-07,5,0.5925,0.0,0.0064265960444803705,9.068637914676648e-08
0,2.571503621873859e-05,0.5927790591987431,5.579324527984956e-07,5,0.6,0.0,0.0064265960444804815,5.633797324881825e-08
0,2.571503621873859e-05,0.5992056552432236,6.142704260473138e-07,5,0.6075,3.713309425029366e-05,0.006088354147402497,1.600336561293509e-07
0,6.284813046903224e-05,0.605294009390626,7.743040821766647e-07,5,0.615,3.713309425029366e-05,0.006088354147402497,1.600336561293509e-07
0,9.99812247193259e-05,0.6113823635380286,9.343377383060156e-07,5,0.6225,7.426618850057409e-05,0.0064265960444803705,1.9373159684061137e-07
0,0.0001742474132199,0.6178089595825089,1.128069335146627e-06,5,0.63,3.7133094250300014e-05,0.0054118703532466395,2.3003139829862305e-07
0,0.0002113805074702,0.6232208299357556,1.35810073344525e-06,5,0.6375,3.7133094250299986e-05,0.004735386559090782,2.3133232867200097e-07
0,0.0002485136017205,0.6279562164948463,1.589433062117251e-06,5,0.645,7.426618850050001e-05,0.004735386559090893,2.65680734569948e-07
0,0.000322779790221,0.6326916030539372,1.855113796687199e-06,5,0.6525,7.426618850060003e-05,0.0043971446620129084,3.0067960565458406e-07
0,0.0003970459787216,0.6370887477159501,2.155793402341783e-06,5,0.66,7.426618850059997e-05,0.0043971446620129084,3.006796056545849e-07
0,0.0004713121672222,0.641485892377963,2.456473007996368e-06,5,0.6675,7.426618850059997e-05,0.0037206608678570507,3.7067734782385706e-07
0,0.0005455783557228,0.6452065532458201,2.827150355820225e-06,5,0.675,0.00011139928275090004,0.004058902764935035,4.387236944330658e-07
0,0.0006569776384737,0.6492654560107551,3.265874050253291e-06,5,0.6825,0.00011139928275090004,0.0037206608678570507,4.05025753721806e-07
0,0.0007683769212246,0.6529861168786122,3.670899803975097e-06,5,0.69,0.00011139928275079997,0.003044177073701193,4.406750899931305e-07
0,0.0008797762039754,0.6560302939523134,4.111574893968227e-06,5,0.6975,0.00011139928275090004,0.0027059351766233197,4.7567396107776635e-07
0,0.0009911754867263,0.6587362291289367,4.587248855045994e-06,5,0.705,0.00011139928275090004,0.0027059351766234307,4.069771492818702e-07
0,0.0011025747694772,0.6614421643055601,4.994226004327864e-06,5,0.7125,0.00011139928275089982,0.0027059351766233197,4.413255551798183e-07
0,0.0012139740522281,0.6641480994821835,5.435551559507682e-06,5,0.72,0.00014853237700120005,0.0023676932795453354,5.450212380603511e-07
0,0.0013625064292293,0.6665157927617288,5.980572797568033e-06,5,0.7275,0.0001485323770011001,0.003044177073701304,5.780687135849228e-07
0,0.0015110388062304,0.6695599698354301,6.558641511152956e-06,5,0.735,0.00011139928275089982,0.002029451382467462,5.456717032470389e-07
0,0.0016224380889813,0.6715894212178976,7.104313214399995e-06,5,0.7425,0.00014853237700120005,0.002029451382467462,5.113232973490909e-07
0,0.0017709704659825,0.673618872600365,7.615636511749086e-06,5,0.75,0.00014853237700120005,0.002029451382467573,5.80020109144987e-07
0,0.0019195028429837,0.6756483239828326,8.195656620894073e-06,5,0.7575,0.0001485323770011001,0.002029451382467462,5.800201091449887e-07
0,0.0020680352199848,0.6776777753653,8.775676730039062e-06,5,0.765,0.00014853237700120005,0.0016912094853895887,5.463221684337267e-07
0,0.002216567596986,0.6793689848506896,9.321998898472788e-06,5,0.7725,0.00014853237700120005,0.0016912094853895887,5.119737625357804e-07
0,0.0023650999739872,0.6810601943360792,9.833972661008569e-06,5,0.78,0.00018566547125149985,0.0016912094853895887,7.180641979234722e-07
0,0.0025507654452387,0.6827514038214688,1.055203685893204e-05,5,0.7875,0.00014853237700109987,0.0013529675883116044,5.469726336204094e-07
0,0.0026992978222398,0.6841043714097804,1.109900949255245e-05,5,0.795,0.00014853237700120005,0.0016912094853895887,6.493673861275692e-07
0,0.002847830199241,0.68579558089517,1.174837687868002e-05,5,0.8025,0.00014853237700120005,0.0013529675883117154,6.156694454163208e-07
0,0.0029963625762422,0.6871485484834817,1.236404632409634e-05,5,0.81,0.0001856654712514001,0.0013529675883116044,5.813210395183592e-07
0,0.0031820280474936,0.6885015160717933,1.29453673636147e-05,5,0.8175,0.00018566547125149985,0.001014725691233842,6.506683165009499e-07
0,0.0033676935187451,0.6895162417630272,1.359603568011565e-05,5,0.825,0.00014853237700120005,0.0013529675883116044,5.813210395183609e-07
0,0.0035162258957463,0.6908692093513388,1.417735671963401e-05,5,0.8325,0.00018566547125149985,0.0013529675883117154,7.530630690081097e-07
0,0.0037018913669978,0.6922221769396505,1.493041978864212e-05,5,0.84,0.0001485323770011003,0.0013529675883116044,5.813210395183592e-07
0,0.0038504237439989,0.6935751445279621,1.551174082816048e-05,5,0.8475,0.00014853237700120005,0.001014725691233731,6.506683165009516e-07
0,0.0039989561210001,0.6945898702191958,1.616240914466143e-05,5,0.855,0.00018566547125149942,0.0013529675883117154,6.156694454163107e-07
0,0.0041846215922516,0.6959428378075075,1.677807859007774e-05,5,0.8625,0.00014853237700120005,0.001014725691233731,6.506683165009482e-07
0,0.0043331539692528,0.6969575634987413,1.742874690657869e-05,5,0.87,0.0001485323770011003,0.001014725691233731,6.163199106030018e-07
0,0.0044816863462539,0.697972289189975,1.804506681718169e-05,5,0.8775,0.00018566547125150028,0.001014725691233731,6.506683165009482e-07
0,0.0046673518175054,0.6989870148812087,1.869573513368264e-05,5,0.885,0.00022279856550179965,0.001014725691233731,8.224103459906903e-07
0,0.0048901503830072,0.7000017405724425,1.951814547967333e-05,5,0.8925,0.0001485323770011003,0.0006764837941558577,5.826219698917399e-07
0,0.0050386827600083,0.7006782243665983,2.010076744956507e-05,5,0.9,0.00018566547125149942,0.001014725691233731,7.19365128296841e-07
0,0.0052243482312598,0.701692950057832,2.082013257786191e-05,5,0.9075,0.00014853237700120005,0.0006764837941558577,6.169703757896896e-07
0,0.005372880608261,0.7023694338519879,2.14371029536516e-05,5,0.915,0.00018566547125140054,0.001014725691233731,6.506683165009482e-07
0,0.0055585460795124,0.7033841595432216,2.208777127015255e-05,5,0.9225,0.00018566547125149942,0.001014725691233731,6.850167223989014e-07
0,0.0057442115507639,0.7043988852344554,2.277278799255145e-05,5,0.93,0.00014853237700120005,0.0006764837941558577,6.85667187585579e-07
0,0.0058927439277651,0.7050753690286112,2.345845518013703e-05,5,0.9375,0.00018566547125150028,0.001014725691233731,7.537135341947907e-07
0,0.0060784093990166,0.706090094719845,2.421216871433182e-05,5,0.945,0.00018566547125139967,0.0006764837941558577,6.169703757896896e-07
0,0.006264074870268,0.7067665785140008,2.482913909012151e-05,5,0.9525,0.00014853237700120005,0.001014725691233731,7.19365128296841e-07
0,0.0064126072472692,0.7077813042052346,2.554850421841835e-05,5,0.96,0.00018566547125150028,0.0006764837941558577,6.513187816876394e-07
0,0.0065982727185207,0.7084577879993904,2.619982300010599e-05,5,0.9675,0.00018566547125139967,0.0006764837941558577,6.856671875855892e-07
0,0.0067839381897721,0.7091342717935463,2.688549018769158e-05,5,0.975,0.00018566547125150028,0.0006764837941558577,5.826219698917399e-07
0,0.0069696036610236,0.7098107555877021,2.746811215758332e-05,5,0.9825,0.00014853237700120005,0.0006764837941557467,7.200155934835322e-07
0,0.0071181360380248,0.7104872393818579,2.818812775106685e-05,5,0.99,0.00018566547125139967,0.001014725691233842,7.537135341947873e-07
0,0.0073038015092762,0.7115019650730917,2.894184128526164e-05,5,0.9975,0.00018566547125150028,0.0006764837941557467,6.856671875855926e-07
0,0.0074894669805277,0.7121784488672475,2.962750847284723e-05,5,1.005,0.00014853237700120005,0.0006764837941558577,7.200155934835288e-07
0,0.0076379993575289,0.7128549326614033,3.034752406633076e-05,5,1.0125,0.00018566547125149942,0.00033824189707798435,6.863176527722668e-07
0,0.0078236648287804,0.7131931745584813,3.103384171910303e-05,5,1.02,0.00018566547125140054,0.0006764837941557467,6.856671875855926e-07
0,0.0080093303000318,0.713869658352637,3.171950890668862e-05,5,1.0275,0.0001485323770011992,0.0006764837941558577,6.513187816876428e-07
0,0.008157862677033,0.7145461421467929,3.237082768837626e-05,5,1.035,0.00018566547125150115,0.0006764837941558577,6.856671875855858e-07
0,0.0083435281482845,0.7152226259409488,3.305649487596185e-05,5,1.0425,0.0001856654712513988,0.0006764837941558577,7.543639993814853e-07
0,0.0085291936195359,0.7158991097351046,3.381085887534333e-05,5,1.05,0.00018566547125150115,0.0006764837941557467,7.200155934835288e-07
