natezenie, lat, lon
67.2,19.9139996,50.0656149
61.7,19.91397815,50.06555935
56.2,19.9139567,50.0655038
54.5,19.91393665,50.0654556
52.8,19.9139166,50.0654074
55.75,19.91389795,50.06535565
58.7,19.9138793,50.0653039
58.3,19.91386185,50.065248800000006
57.9,19.9138444,50.0651937
55.05,19.91382405,50.06514505
52.2,19.9138037,50.0650964
52.150000000000006,19.9137837,50.065046699999996
52.1,19.9137637,50.064997
52.0,19.91374435,50.064943400000004
51.9,19.913725,50.0648898
52.75,19.913763250000002,50.06481405
53.6,19.9138015,50.0647383
50.0,19.91384765,50.0641761
46.4,19.9138938,50.0636139
48.5,19.91397915,50.063596950000004
50.6,19.9140645,50.06358
48.35,19.91415835,50.06361315
46.1,19.9142522,50.0636463
46.45,19.9143501,50.0636704
46.8,19.914448,50.0636945
47.2,19.9144869,50.0636575
47.6,19.9145258,50.0636205
47.2,19.91453855,50.063568000000004
46.8,19.9145513,50.0635155
46.7,19.9145654,50.063465550000004
46.6,19.9145795,50.0634156
46.5,19.9145567,50.06337125
46.4,19.9145339,50.0633269
46.0,19.91450425,50.06328395
45.6,19.9144746,50.063241
48.25,19.91446065,50.06320155
50.9,19.9144467,50.0631621
49.349999999999994,19.914470299999998,50.063125400000004
47.8,19.9144939,50.0630887
50.25,19.91460225,50.06306805
52.7,19.9147106,50.0630474
49.650000000000006,19.91485275,50.0630259
46.6,19.9149949,50.0630044
46.2,19.9151317,50.06297515
45.8,19.9152685,50.0629459
46.75,19.915412,50.062919199999996
47.7,19.9155555,50.0628925
46.85,19.91564805,50.062873999999994
46.0,19.9157406,50.0628555
46.0,19.91585795,50.0628391
46.0,19.9159753,50.0628227
46.85,19.9160756,50.06280855
47.7,19.9161759,50.0627944
46.85,19.91633005,50.062778550000004
46.0,19.9164842,50.0627627
47.15,19.916694999999997,50.0627398
48.3,19.9169058,50.0627169
47.099999999999994,19.917029999999997,50.062605649999995
45.9,19.9171542,50.0624944
45.8,19.917339249999998,50.06245395
45.7,19.9175243,50.0624135
45.900000000000006,19.9177,50.06248585
46.1,19.9178757,50.0625582
46.2,19.917928,50.0626701
46.3,19.9179803,50.062782
47.0,19.91788775,50.06289565
47.7,19.9177952,50.0630093
47.400000000000006,19.917439950000002,50.0629926
47.1,19.9170847,50.0629759
46.95,19.91736085,50.0629246
46.8,19.917637,50.0628733
46.5,19.9176692,50.06282765
46.2,19.9177014,50.062782
45.7,19.917677249999997,50.0627226
45.2,19.9176531,50.0626632
46.0,19.9175793,50.0626305
46.8,19.9175055,50.0625978
45.849999999999994,19.9174224,50.062625350000005
44.9,19.9173393,50.0626529
45.599999999999994,19.9172843,50.0627011
46.3,19.9172293,50.0627493
48.099999999999994,19.91725745,50.062808700000005
49.9,19.9172856,50.0628681
50.25,19.917364749999997,50.0629137
50.6,19.9174439,50.0629593
50.7,19.9174224,50.0630523
50.8,19.9174009,50.0631453
50.7,19.917384849999998,50.0632159
50.6,19.9173688,50.0632865
49.35,19.9174184,50.063351049999994
48.1,19.917468,50.0634156
48.650000000000006,19.9175449,50.063461399999994
49.2,19.9176218,50.0635072
49.95,19.91770695,50.063558
50.7,19.9177921,50.0636088
51.75,19.91787725,50.06365055
52.8,19.9179624,50.0636923
52.55,19.918047950000002,50.0637315
52.3,19.9181335,50.0637707
51.9,19.918196549999998,50.06382065
51.5,19.9182596,50.0638706
53.1,19.9183052,50.0639343
54.7,19.9183508,50.063998
54.25,19.9183731,50.064044949999996
53.8,19.9183954,50.0640919
53.849999999999994,19.9184202,50.064147399999996
53.9,19.918445,50.0642029
54.65,19.918461100000002,50.064245099999994
55.4,19.9184772,50.0642873
57.95,19.9184926,50.0643368
60.5,19.918508,50.0643863
64.45,19.9185336,50.064436
68.4,19.9185592,50.0644857
68.9,19.91856465,50.0645299
69.4,19.9185701,50.0645741
68.35,19.91843935,50.06459565
67.3,19.9183086,50.0646172
68.3,19.918173850000002,50.064647300000004
69.3,19.9180391,50.0646774
69.44999999999999,19.91790855,50.0647055
69.6,19.917778,50.0647336
69.15,19.917658099999997,50.06476885
68.7,19.9175382,50.0648041
69.85,19.91740875,50.06483715
71.0,19.9172793,50.0648702
69.7,19.91713075,50.0649059
68.4,19.9169822,50.0649416
68.75,19.91681625,50.0649769
69.1,19.9166503,50.0650122
70.75,19.91651505,50.065048149999996
72.4,19.9163798,50.0650841
72.25,19.916233400000003,50.065118749999996
72.1,19.916087,50.0651534
69.65,19.9159515,50.06518365
67.2,19.915816,50.0652139
67.9,19.915630450000002,50.065258299999996
68.6,19.9154449,50.0653027
66.4,19.915290900000002,50.0653372
64.2,19.9151369,50.0653717
64.80000000000001,19.91503575,50.06539545
65.4,19.9149346,50.0654192
67.95,19.91481925,50.065444150000005
70.5,19.9147039,50.0654691
70.65,19.9145973,50.06549235
70.8,19.9144907,50.0655156
67.75,19.914412900000002,50.0655311
64.7,19.9143351,50.0655466
65.9,19.9142646,50.06556475
